#Monatsgradtage VDI 3807; erstellt: DWD, 20190830
#Messnetz_id 4; mittlere Raumtemperatur (Grad Celsius): 20
#Auswertezeitraum 01-AUG-2016 bis 31-AUG-2016
#ID; geogr. Breite; geogr. Laenge;Station; Monat; Anzahl Tage; Monatsgradtage; Anzahl Heiztage; Mittelwert 2006-2015
00044;52.93; 8.24;            GROSSENKNETEN;201608;31; 34.9;5; 36.5
00071;48.22; 8.98;          ALBSTADT-BADKAP;201608;31; 54.7;8;-999.9
00073;48.62;13.05;     ALDERSBACH-KRIESTORF;201608;31; 21.2;3; 29.4
00078;52.49; 7.91;                ALFHAUSEN;201608;31; 29.4;4; 40.3
00091;50.74; 9.34;             ALSFELD-EIFA;201608;31; 27.6;4; 50.9
00102;53.86; 8.13;        ALTE WESER (AWST);201608;31; 18.1;3;-999.9
00131;51.09;12.93;          ALTGERINGSWALDE;201608;31; 41.6;6; 38.8
00142;48.41;11.31;   ALTOMUENSTER-MAISBRUNN;201608;31; 31.8;5; 44.7
00150;49.73; 8.12;                    ALZEY;201608;31; 13.2;2; 17.7
00151;49.47;11.85;  AMBERG-UNTERAMMERSRICHT;201608;31; 26.0;4; 38.1
00154;48.02;12.29;         AMERANG-PFAFFING;201608;31; 45.7;7; 58.4
00161;50.42; 7.42;                ANDERNACH;201608;31; 15.0;2;-999.9
00164;53.03;13.99;       ANGERMUENDE (WEWA);201608;31; 30.2;5; 19.4
00167;53.84;13.68;                   ANKLAM;201608;31; 25.0;4; 19.1
00183;54.68;13.43;            ARKONA (WEWA);201608;31; 18.4;3; 16.7
00191;49.97; 9.91;      ARNSTEIN-MUEDESHEIM;201608;31; 20.3;3; 32.8
00198;51.37;11.29;            ARTERN (WEWA);201608;31; 20.2;3; 21.7
00217;47.88;11.36;                 ATTENKAM;201608;31; 50.1;7; 66.6
00222;50.59;12.71;                      AUE;201608;31; 41.6;6; 50.5
00232;48.43;10.94;  AUGSBURG-MUEHLH. (WEWA);201608;31; 25.3;4; 47.7
00257;48.73; 8.25;    BADEN-BADEN-GEROLDSAU;201608;31; 13.5;2; 24.9
00259;47.81; 7.64;                MUELLHEIM;201608;31; 11.6;2; 21.7
00282;49.87;10.92;            BAMBERG (WST);201608;31; 20.8;3; 31.6
00294;52.32; 9.43; BARSINGHAUSEN-HOHENBOST.;201608;31; 20.2;3; 27.2
00298;54.34;12.71;             BARTH (AWST);201608;31; 31.9;5; 26.8
00303;52.06;13.50;            BARUTH (AWST);201608;31; 31.7;5; 24.0
00314;51.16;14.50;    KUBSCHUETZ,KR.BAUTZEN;201608;31; 26.9;4; 21.3
00320;49.97;11.52;     HEINERSREUTH-VOLLHOF;201608;31; 38.2;6; 55.9
00342;52.32; 8.17;                     BELM;201608;31; 28.6;4;-999.9
00368;52.82; 9.92;              BERGEN (BW);201608;31; 51.8;8;-999.9
00377;49.11; 8.00;           BERGZABERN,BAD;201608;31; 10.2;2; 15.7
00390;50.98; 8.37;   BERLEBURG,BAD-STUENZEL;201608;31; 98.2;14;119.3
00400;52.63;13.50;              BERLIN-BUCH;201608;31; 25.3;4; 18.1
00403;52.45;13.30; BERLIN-DAHLEM (MET.INST);201608;31; 24.2;4; 18.2
00410;52.40;13.73; BERLIN-KOEPENICK(KANISW);201608;31; 33.2;5; 24.4
00420;52.54;13.56;           BERLIN-MARZAHN;201608;31; 12.0;2;-999.9
00427;52.38;13.53; BERLIN-SCHOEN.(FLUGWEWA);201608;31; 13.8;2; 15.1
00430;52.56;13.31;  BERLIN-TEGEL (FLUGWEWA);201608;31; 13.1;2; 14.0
00433;52.47;13.40;       BERLIN-TEMP. (WST);201608;31; 11.5;2; 10.8
00445;51.82;11.71;    BERNBURG/SAALE (NORD);201608;31; 13.0;2; 17.0
00460;49.26; 6.69;             BERUS (AWST);201608;31; 20.7;3; 42.8
00535;50.04; 7.31;              BLANKENRATH;201608;31; 42.4;6; 64.6
00555;51.48; 7.27;                   BOCHUM;201608;31; 21.6;3;-999.9
00591;53.39;10.69;         BOIZENBURG (WST);201608;31; 32.5;5; 27.5
00596;54.00;11.19;        BOLTENHAGEN (WST);201608;31; 21.7;3; 24.6
00603;50.73; 7.19;      BONN-ROLEBER (AWST);201608;31; 21.1;3; 30.5
00617;51.87; 6.89;              BORKEN I.W.;201608;31; 21.7;3; 31.6
00656;51.72;10.60;         BRAUNLAGE (AWST);201608;31;129.0;18;129.8
00662;52.29;10.45;  BRAUNSCHWEIG-VOEL.(WST);201608;31; 20.2;3; 28.6
