#Monatsgradtage VDI 3807; erstellt: DWD, 20200902
#Messnetz_id 4; mittlere Raumtemperatur (Grad Celsius): 20
#Auswertezeitraum 01-AUG-2020 bis 31-AUG-2020
#ID; geogr. Breite; geogr. Laenge;Station; Monat; Anzahl Tage; Monatsgradtage; Anzahl Heiztage; Mittelwert 2010-2019
00044;52.93; 8.24;            GROSSENKNETEN;202008;31;  5.7;1;-999.9
00073;48.62;13.05;     ALDERSBACH-KRIESTORF;202008;31; 11.2;2; 19.3
00078;52.49; 7.91;                ALFHAUSEN;202008;31; 10.4;2; 34.6
00091;50.74; 9.34;             ALSFELD-EIFA;202008;31; 18.0;3; 38.9
00096;52.94;12.85;     NEURUPPIN-ALT RUPPIN;202008;31;  0.0;0;-999.9
00102;53.86; 8.13;        ALTE WESER (AWST);202008;31;  0.0;0;-999.9
00125;47.83;10.87;          ALTENSTADT (BW);202008;31; 44.8;6;-999.9
00131;51.09;12.93;          ALTGERINGSWALDE;202008;31;  5.6;1; 32.0
00142;48.41;11.31;   ALTOMUENSTER-MAISBRUNN;202008;31; 26.2;4; 32.5
00150;49.73; 8.12;                    ALZEY;202008;31;  0.0;0; 15.4
00151;49.47;11.85;  AMBERG-UNTERAMMERSRICHT;202008;31; 17.1;3; 29.2
00154;48.02;12.29;         AMERANG-PFAFFING;202008;31; 30.7;5; 42.6
00161;50.42; 7.42;                ANDERNACH;202008;31;  0.0;0;-999.9
00164;53.03;13.99;       ANGERMUENDE (WEWA);202008;31;  0.0;0; 15.7
00167;53.84;13.68;                   ANKLAM;202008;31;  5.7;1; 18.0
00183;54.68;13.43;            ARKONA (WEWA);202008;31;  0.0;0; 15.9
00191;49.97; 9.91;      ARNSTEIN-MUEDESHEIM;202008;31; 10.7;2; 26.9
00198;51.37;11.29;            ARTERN (WEWA);202008;31;  0.0;0; 17.0
00217;47.88;11.36;                 ATTENKAM;202008;31; 41.7;6; 49.6
00222;50.59;12.71;                      AUE;202008;31; 17.4;3; 39.6
00232;48.43;10.94;  AUGSBURG-MUEHLH. (WEWA);202008;31; 25.2;4; 34.9
00257;48.73; 8.25;    BADEN-BADEN-GEROLDSAU;202008;31; 11.8;2; 18.8
00259;47.81; 7.64;                MUELLHEIM;202008;31; 11.8;2; 15.1
00282;49.87;10.92;            BAMBERG (WST);202008;31; 10.8;2; 31.0
00294;52.32; 9.43; BARSINGHAUSEN-HOHENBOST.;202008;31;  0.0;0; 22.4
00298;54.34;12.71;             BARTH (AWST);202008;31; 21.6;4; 27.0
00314;51.16;14.50;    KUBSCHUETZ,KR.BAUTZEN;202008;31;  5.2;1; 17.8
00320;49.97;11.52;     HEINERSREUTH-VOLLHOF;202008;31; 17.5;3; 41.9
00330;49.56; 8.97;      OBERZENT-BEERFELDEN;202008;31; 13.4;2;-999.9
00342;52.32; 8.17;                     BELM;202008;31;  0.0;0;-999.9
00368;52.82; 9.92;              BERGEN (BW);202008;31; 10.5;2; 37.2
00377;49.11; 8.00;           BERGZABERN,BAD;202008;31;  0.0;0; 12.1
00379;50.91;11.27;    BERKA,BAD (FLUGPLATZ);202008;31; 16.9;3;-999.9
00390;50.98; 8.37;   BERLEBURG,BAD-STUENZEL;202008;31; 68.2;11; 96.3
00400;52.63;13.50;              BERLIN-BUCH;202008;31;  0.0;0; 16.1
00403;52.45;13.30; BERLIN-DAHLEM (MET.INST);202008;31;  0.0;0; 14.9
00420;52.54;13.56;           BERLIN-MARZAHN;202008;31;  0.0;0;  8.3
00427;52.38;13.53; BERLIN-SCHOEN.(FLUGWEWA);202008;31;  0.0;0; 12.4
00430;52.56;13.31;  BERLIN-TEGEL (FLUGWEWA);202008;31;  0.0;0; 11.5
00433;52.47;13.40;       BERLIN-TEMP. (WST);202008;31;  0.0;0;  8.7
00445;51.82;11.71;    BERNBURG/SAALE (NORD);202008;31;  0.0;0; 13.3
00460;49.26; 6.69;             BERUS (AWST);202008;31;  6.0;1; 33.1
00535;50.04; 7.31;              BLANKENRATH;202008;31; 24.8;4; 52.5
00591;53.39;10.69;         BOIZENBURG (WST);202008;31;  5.1;1; 25.4
00596;54.00;11.19;        BOLTENHAGEN (WST);202008;31;  0.0;0; 22.8
00617;51.87; 6.89;              BORKEN I.W.;202008;31;  5.3;1; 26.5
00656;51.72;10.60;         BRAUNLAGE (AWST);202008;31; 69.0;10;109.5
00662;52.29;10.45;  BRAUNSCHWEIG-VOEL.(WST);202008;31;  0.0;0; 24.3
00691;53.05; 8.80;        BREMEN (FLUGWEWA);202008;31;  0.0;0; 29.2
00701;53.53; 8.58;        BREMERHAVEN (WST);202008;31;  0.0;0; 16.6
00704;53.45; 9.14;      BREMERVOERDE (AWST);202008;31; 21.2;4; 37.5
00722;51.80;10.62;           BROCKEN (WEWA);202008;31;144.5;16;228.3
00755;49.52; 9.32;    BUCHEN,KR.NECKAR-ODW.;202008;31; 12.3;2; 35.7
00757;47.96; 8.00;               BUCHENBACH;202008;31; 25.7;4; 29.1
00760;53.36; 9.94;      ROSENGARTEN-KLECKEN;202008;31;  5.9;1;-999.9
00769;52.28; 9.09;          BUECKEBURG (BW);202008;31;  0.0;0;-999.9
00817;51.03; 8.81;      BURGWALD-BOTTENDORF;202008;31; 10.8;2; 36.8
00840;50.43;12.61;         CARLSFELD (AWST);202008;31; 96.4;13;131.4
00850;52.60;10.03;  CELLE-WIETZENBRUCH (BW);202008;31;  0.0;0;-999.9
00853;50.79;12.87;          CHEMNITZ (WEWA);202008;31; 11.5;2; 36.5
00856;47.88;12.54;           CHIEMING (WST);202008;31; 30.5;5; 35.1
00867;50.31;10.97; LAUTERTAL-OBERLAU.(AWST);202008;31; 12.2;2;-999.9
00880;51.78;14.32;           COTTBUS (WEWA);202008;31;  0.0;0; 14.2
00891;53.87; 8.71;          CUXHAVEN (WEWA);202008;31;  0.0;0; 17.1
00896;51.08;10.86;                  DACHWIG;202008;31;  0.0;0; 16.3
00917;49.88; 8.68;                DARMSTADT;202008;31;  5.5;1; 16.0
00953;49.76; 7.05;               DEUSELBACH;202008;31; 23.6;4; 55.9
00954;54.18; 7.46; UFS DEUTSCHE BUCHT(AWST);202008;31;  0.0;0;-999.9
00963;52.59; 8.34;           DIEPHOLZ(WEWA);202008;31;  5.1;1; 29.6
00979;50.74; 8.27;               DILLENBURG;202008;31; 16.7;3; 44.7
00983;48.56;10.56; DILLINGEN/DONAU-FRISTIN.;202008;31; 22.9;4; 27.4
00991;50.91;13.71;  DIPPOLDISWALDE-REINBERG;202008;31; 16.4;3; 47.0
01001;51.65;13.57; DOBERLUG-KIRCHHAIN(AWST);202008;31;  0.0;0; 16.3
01048;51.13;13.75; DRESDEN-KLOTZ.(FLUGWEWA);202008;31;  0.0;0; 16.0
01050;51.02;13.85;       DRESDEN-HOSTERWITZ;202008;31;  0.0;0;-999.9
01051;51.02;13.77;         DRESDEN-STREHLEN;202008;31;  0.0;0; 10.4
01052;52.22;12.16;         DREWITZ,BEI BURG;202008;31;  0.0;0; 18.0
01072;49.47; 8.19;            DUERKHEIM,BAD;202008;31;  0.0;0;  6.1
01078;51.30; 6.77;   DUESSELDORF (FLUGWEWA);202008;31;  0.0;0; 18.4
01103;48.10;11.99;        EBERSBERG-HALBING;202008;31; 34.1;5; 43.0
01107;49.85;10.50;                   EBRACH;202008;31; 17.9;3; 46.5
01161;48.88;11.23;  EICHSTAETT-LANDERSHOFEN;202008;31; 17.5;3; 30.5
01197;48.99;10.13;     ELLWANGEN-RINDELBACH;202008;31; 18.7;3; 39.4
01200;54.07; 9.01;     ELPERSBUETTEL (AWST);202008;31;  5.1;1; 25.0
01207;50.27;12.27;          ELSTER,BAD-SOHL;202008;31; 43.5;7; 68.8
01214;48.20; 8.11;          ELZACH-FISNACHT;202008;31; 14.6;2; 38.5
01224;48.14; 7.84;    EMMENDINGEN-MUNDINGEN;202008;31;  6.2;1; 13.0
01246;51.84; 8.06;    ENNIGERLOH-OSTENFELDE;202008;31;  0.0;0;-999.9
01262;48.35;11.81;       MUENCHEN-FLUGHAFEN;202008;31; 24.5;4; 25.5
01266;54.30; 9.32;                    ERFDE;202008;31; 16.1;3; 32.7
01270;50.98;10.96;            ERFURT-WEIMAR;202008;31; 11.1;2; 29.6
01279;49.65;11.01; MOEHRENDORF-KLEINSEEBACH;202008;31; 10.9;2; 22.0
01297;51.20;10.01;                 ESCHWEGE;202008;31;  5.4;1; 21.3
01300;51.25; 8.16;                   ESLOHE;202008;31; 31.2;5;-999.9
01303;51.40; 6.97;    ESSEN-BREDENEY (AWST);202008;31;  5.2;1; 28.4
01327;50.71; 6.79;    WEILERSWIST-LOMMERSUM;202008;31;  0.0;0; 19.5
01332;48.48;12.72; FALKENBERG,KR.ROTTAL-INN;202008;31; 24.4;4; 25.8
01339;52.92;10.19;            FASSBERG (BW);202008;31; 10.7;2;-999.9
01346;47.87; 8.00;    FELDBERG/SCHW. (WEWA);202008;31;180.9;20;210.5
01357;49.98;11.84; FICHTELB./OFR-HUETTSTADL;202008;31; 56.9;9; 86.8
01358;50.43;12.95;       FICHTELBERG (WEWA);202008;31;137.3;16;186.2
01411;50.53;10.05;               BIRX/RHOEN;202008;31; 53.7;8; 94.9
01420;50.03; 8.52;  FRANKFURT/M. (FLUGWEWA);202008;31;  0.0;0; 10.5
01424;50.13; 8.67;   FRANKFURT/MAIN-WESTEND;202008;31;  0.0;0;  8.6
01443;48.02; 7.83;    FREIBURG I.BR. (AWST);202008;31;  5.9;1; 12.6
01451;53.83; 9.25;            FREIBURG/ELBE;202008;31;  0.0;0; 25.7
01468;48.45; 8.41;      FREUDENSTADT (WEWA);202008;31; 50.4;7; 81.2
01503;53.06; 7.90;    FRIESOYTHE-ALTENOYTHE;202008;31; 16.9;3;-999.9
01504;51.12; 9.28;            FRITZLAR (BW);202008;31;  0.0;0; 25.8
01526;50.57; 9.65;              FULDA-HORAS;202008;31; 12.0;2;-999.9
01544;52.51;11.39;         GARDELEGEN (WST);202008;31;  0.0;0; 22.8
01550;47.48;11.06; GARMISCH-PARTENK. (AWST);202008;31; 45.3;6; 57.3
01580;49.99; 7.95;        GEISENHEIM (AMBF);202008;31;  0.0;0; 11.5
01584;47.92; 8.65;                GEISINGEN;202008;31; 30.4;4; 49.4
01587;48.95;11.43;         GELBELSEE (AWST);202008;31; 25.9;4; 38.4
01590;51.49; 6.25;          GELDERN-WALBECK;202008;31; 10.8;2; 22.4
01602;48.43; 7.99;                 OHLSBACH;202008;31; 10.8;2; 10.6
01605;52.39;12.16;           GENTHIN (AWST);202008;31;  0.0;0; 16.8
01612;50.88;12.13;     GERA-LEUMNITZ (WEWA);202008;31;  5.4;1; 28.7
01639;50.60; 8.64;   GIESSEN/WETTENB. (WST);202008;31; 16.8;3; 27.4
01645;50.97; 9.05;     GILSERBERG-MOISCHEID;202008;31; 24.1;4;-999.9
01666;54.83; 9.51; GLUECKSBURG-MEIERWIK(BW);202008;31; 21.3;4;-999.9
01684;51.16;14.95;          GOERLITZ (WEWA);202008;31;  5.3;1; 21.7
01691;51.50; 9.95;        GOETTINGEN (WEWA);202008;31; 16.0;3; 22.3
01694;53.61;12.10;          GOLDBERG (AWST);202008;31;  0.0;0; 26.9
01721;49.66;11.22;      GRAEFENBERG-KASBERG;202008;31; 24.1;4; 44.0
01735;48.79;13.63;          GRAINET-REHBERG;202008;31; 37.4;6; 59.2
01736;53.57;10.68;                  GRAMBEK;202008;31;  5.4;1; 32.9
01757;54.10;13.41;        GREIFSWALD (WEWA);202008;31;  5.4;1; 16.2
01759;54.24;13.91;  GREIFSWALDER OIE (AWST);202008;31;  0.0;0;  7.8
01766;52.13; 7.70;      MUENSTER/OSNABRUECK;202008;31;  0.0;0; 24.7
01803;54.07;12.32;          GROSS LUESEWITZ;202008;31;  5.3;1; 28.9
01832;49.11;13.13;     GROSSER ARBER (WEWA);202008;31;166.1;19;202.6
01863;50.27; 9.19;     GRUENDAU-BREITENBORN;202008;31; 11.2;2; 30.3
01869;53.32;13.93;           GRUENOW (AWST);202008;31;  0.0;0; 17.2
01886;48.49;10.26;                GUENZBURG;202008;31; 29.8;5;-999.9
01964;49.94; 6.38;                  OLSDORF;202008;31; 17.1;3;-999.9
01975;53.63; 9.99; HAMBURG-FUHLS.(FLUGWEWA);202008;31;  5.4;1; 29.0
01981;53.48; 9.90;    HAMBURG-NEUWIEDENTHAL;202008;31;  0.0;0; 22.8
02014;52.46; 9.68; HANNOVER-LANG.(FLUGWEWA);202008;31;  0.0;0; 23.6
02023;48.79;10.71;      HARBURG RIES (AWST);202008;31; 25.6;4; 36.0
02039;51.90;10.57;             HARZBURG,BAD;202008;31;  0.0;0; 24.2
02074;48.38; 8.98;                HECHINGEN;202008;31; 26.9;4; 39.1
02110;51.04; 6.10;      HEINSBERG-SCHLEIDEN;202008;31;  5.4;1; 17.1
02115;54.17; 7.89;         HELGOLAND (WEWA);202008;31;  0.0;0;  7.9
02171;50.85; 9.74;       HERSFELD,BAD (WST);202008;31; 11.9;2; 30.1
