Datum;Argentinierstraﬂe;Donaukanal;Langobardenstraﬂe;Lassallestraﬂe;Liesingbach;Neubaug¸rtel ;Opernring Innen;Opernring Auﬂen;Opernring;Wienzeile;Margaritensteg ;Operngasse;Praterstern;Pfeilgasse;Esperanto Park;Hamburgerstraﬂe
20190101;285;231;114;259;48;271;502;218;720;146;106;537;464;170;;
20190102;574;167;124;414;88;430;667;487;1154;187;151;1001;664;360;;
20190103;513;149;111;331;50;339;452;372;824;137;97;709;547;269;;
20190104;383;137;122;293;21;263;413;328;741;93;88;655;442;220;;
20190105;159;46;56;81;12;150;191;154;345;52;35;264;224;89;;
20190106;325;238;78;235;36;301;350;284;634;103;99;520;426;195;;
20190107;1236;314;258;735;101;679;1050;791;1841;329;221;1813;1167;735;;
20190108;953;226;198;503;75;532;795;604;1399;225;214;1527;928;574;;
20190109;1085;206;240;630;97;568;796;740;1536;240;203;1645;1044;648;;
20190110;1263;252;254;714;82;641;1074;906;1980;268;252;1859;1197;756;;
20190111;1159;318;214;676;106;689;1118;807;1925;309;268;1910;1124;765;;
20190112;457;151;144;238;48;417;576;381;957;143;202;782;507;272;;
20190113;408;377;154;375;64;342;527;384;911;193;190;722;633;299;;
20190114;1259;271;230;639;100;709;1133;845;1978;307;256;1988;1142;777;;
20190115;1433;300;254;679;98;723;1215;972;2187;329;262;2142;1199;831;;
20190116;1569;425;275;830;139;875;1498;1044;2542;411;331;2517;1451;978;;
20190117;1806;637;363;1153;208;1042;1780;1233;3013;558;417;2842;1690;1077;;
20190118;1295;328;311;724;117;751;1223;917;2140;333;270;2057;1198;794;;
20190119;611;277;107;353;58;529;785;560;1345;200;206;988;621;442;;
20190120;473;260;100;343;80;460;591;383;974;156;158;764;618;280;;
20190121;1512;370;306;882;143;878;1307;933;2240;406;328;2285;1480;856;;
20190122;1374;312;236;734;110;764;1201;900;2101;310;270;2102;1234;818;;
20190123;1011;246;225;585;88;619;886;687;1573;251;181;1675;939;652;;
20190124;1131;224;242;595;88;713;1082;749;1831;284;231;1880;993;731;;
20190125;1012;258;218;580;93;638;1186;758;1944;298;206;1752;1039;669;;
20190126;357;90;95;213;21;352;398;269;667;86;107;616;393;247;;
20190127;415;360;107;355;69;446;649;405;1054;239;185;758;650;272;;
20190128;723;151;124;381;55;484;694;504;1198;193;166;1203;754;475;;
20190129;1329;390;257;754;99;811;1268;924;2192;343;260;2187;1275;795;;
20190130;1321;380;248;760;112;817;1365;994;2359;393;281;2383;1343;861;;
20190131;1305;308;248;794;105;825;1351;968;2319;361;291;2252;1309;893;;
20190201;1128;351;233;674;107;823;1173;848;2021;379;276;1890;1165;741;;
20190202;660;598;160;596;135;570;1074;604;1678;377;259;1184;940;424;;
20190203;493;300;98;341;72;404;551;386;937;169;156;782;615;248;;
20190204;1148;285;223;701;112;704;1031;768;1799;327;282;1856;1174;709;;
20190205;1295;412;278;872;158;852;1246;922;2168;375;391;2055;1321;749;;
20190206;1198;300;247;780;120;772;1184;895;2079;384;331;2025;1306;726;;
20190207;1125;319;215;803;138;755;1237;881;2118;337;352;1992;1217;722;;
20190208;1151;470;285;847;149;781;1322;844;2166;444;390;1858;1278;690;;
20190209;618;650;176;555;150;585;998;556;1554;342;316;1135;801;413;;
20190210;494;493;134;450;98;516;782;412;1194;222;227;902;696;299;;
20190211;1475;334;289;905;141;862;1309;895;2204;376;353;2306;1400;856;;
20190212;1429;329;256;785;135;807;1256;984;2240;348;319;2242;1273;856;;
20190213;1494;438;289;998;183;902;1441;1034;2475;403;373;2447;1561;888;;
20190214;1686;600;348;1121;205;1102;1737;1182;2919;561;487;2760;1742;1008;;
20190215;1641;771;394;1250;282;1145;1872;1209;3081;702;558;2594;1868;950;;
20190216;1002;1210;340;1232;367;846;1635;854;2489;635;517;1632;1538;559;;
20190217;916;1425;345;1571;389;835;1738;801;2539;700;525;1458;1729;519;;
20190218;1934;725;466;1378;303;1210;2133;1203;3336;725;546;2980;2084;1088;;
20190219;2119;936;500;1566;315;1348;2475;1376;3851;782;647;3239;2311;1209;;
20190220;2118;827;430;1495;306;1366;2288;1453;3741;782;652;3285;2261;1142;;
20190221;2013;732;458;1485;274;1248;2193;1404;3597;698;564;3251;2168;1160;;
20190222;1292;309;208;728;100;792;1229;805;2034;336;324;1909;1195;682;;
20190223;631;342;157;475;125;669;987;532;1519;302;319;1185;816;419;;
20190224;506;428;144;394;103;487;746;392;1138;279;229;864;676;295;;
20190225;1877;807;460;1570;305;1294;1912;1711;3623;786;610;3126;2179;1140;;
20190226;2320;755;496;1650;330;1460;1907;2083;3990;847;690;3473;2385;1289;;
20190227;2442;1093;593;2074;444;1573;2146;2288;4434;1020;769;3804;2808;1329;;
20190228;2473;1216;542;2074;435;1743;2208;2504;4712;999;828;3950;2815;1441;;
20190301;1868;732;434;1384;271;1251;1662;1836;3498;687;652;3134;2068;1086;;
20190302;484;147;159;323;55;460;577;409;986;177;200;829;559;331;;
20190303;910;1322;307;1164;372;899;1523;834;2357;655;521;1545;1520;534;;
20190304;2612;1141;647;1892;364;1578;2719;1906;4625;947;818;4090;2743;1508;;
20190305;2557;759;506;1443;262;1453;2439;1873;4312;783;732;4006;2330;1349;;
20190306;2705;1104;586;1890;358;1666;2877;2087;4964;938;832;4277;2889;1501;;
20190307;2628;1145;578;1991;392;1656;2800;2050;4850;943;789;4244;2772;1499;;
20190308;2121;791;506;1411;312;1466;2346;1760;4106;780;678;3387;2157;1262;;
20190309;1025;1051;283;990;330;985;1542;942;2484;642;485;1726;1384;605;;
20190310;617;270;124;439;137;477;689;482;1171;247;296;810;752;335;;
20190311;2000;497;413;1155;232;1110;1789;1399;3188;607;567;3092;1878;1152;;
20190312;2082;631;449;1331;257;1234;2029;1554;3583;610;574;3289;2087;1187;;
20190313;2020;526;399;1232;233;1178;2018;1538;3556;635;573;3325;2004;1244;;
20190314;2290;763;466;1446;278;1456;2320;1745;4065;688;679;3513;2145;1297;;
20190315;1752;470;374;1033;219;950;1966;1324;3290;502;511;2802;1645;976;;
20190316;644;205;148;427;86;559;874;520;1394;182;264;1028;744;434;;
20190317;1446;3066;588;2789;977;1109;2918;1355;4273;1642;908;2204;2852;755;;
20190318;1999;529;441;1114;215;1224;1870;1307;3177;636;560;3136;1865;1186;;
20190319;2401;851;547;1525;298;1374;2459;1834;4293;754;639;3899;2302;1439;;
20190320;2472;798;546;1597;336;1392;2653;1869;4522;809;604;3955;2425;1436;;
20190321;2640;1178;578;2031;447;1768;3079;2141;5220;990;750;4231;2916;1553;;
20190322;2533;1461;704;2313;569;1741;3322;2079;5401;1243;979;4237;3041;1517;;
20190323;1619;2701;798;3052;916;1511;3251;1778;5029;1405;1002;2925;3131;988;;
20190324;1773;3025;755;3395;1126;1435;3233;1565;4798;1629;980;2579;3517;945;;
20190325;1780;457;420;1261;215;1077;1769;1184;2953;541;488;2784;1810;995;;
20190326;2482;804;522;1595;299;1438;2479;1927;4406;745;678;3880;2435;1494;;
20190327;2248;627;425;1339;209;1293;2336;1666;4002;601;577;3548;2140;1333;;
20190328;2312;724;483;1452;319;1475;2450;1825;4275;763;647;3695;2264;1377;;
20190329;2487;1245;643;1939;480;1684;3105;1963;5068;1027;851;4123;2666;1435;;
20190330;1801;2279;649;2759;795;1565;3772;2011;5783;1387;1084;3346;3135;1133;;
20190331;2339;3722;868;4532;1261;2427;5325;2476;7801;1905;1339;4151;4515;1436;;
20190401;3202;1326;846;2693;584;2666;3613;2464;6077;1334;987;5226;3694;1797;;
20190402;3397;1626;790;2624;605;2807;3771;2686;6457;1435;1041;5529;3678;1887;;
20190403;3315;1311;754;2429;600;2777;3873;2533;6406;1252;1026;5431;3561;1904;;
20190404;3129;1249;631;2136;468;2699;3790;2440;6230;1200;994;5273;3196;1846;;
20190405;2282;782;484;1580;361;1887;2466;1739;4205;850;613;3643;2346;1344;;
20190406;1585;1386;475;1836;467;1372;2707;1436;4143;932;743;2724;2205;893;;
20190407;1758;2714;661;2906;925;1254;2666;1666;4332;1078;1026;2423;2951;878;;
20190408;3307;1395;852;2846;623;2734;3890;2586;6476;1369;1007;5301;3859;1923;;
20190409;3794;1961;865;3264;695;3039;4385;2988;7373;1696;1210;5878;4350;2143;;
20190410;2401;738;522;1658;311;1990;2405;1746;4151;790;727;3796;2400;1451;;
20190411;2280;576;462;1396;216;1910;2393;1702;4095;706;616;3653;2238;1394;;
20190412;2177;832;476;1530;277;1778;2397;1692;4089;787;667;3467;2227;1228;;
20190413;996;673;227;723;196;857;1494;906;2400;480;509;1581;1188;668;;
20190414;726;522;157;633;161;580;1012;655;1667;348;308;1106;976;423;;
20190415;2574;1432;636;2362;570;2048;3149;1950;5099;1205;851;3965;3115;1442;;
20190416;2849;1802;741;2857;702;2276;3809;2244;6053;1475;1063;4430;3713;1565;;
20190417;2769;1587;693;2686;603;2220;3580;2257;5837;1358;939;4396;3495;1463;;
20190418;2803;1856;822;3082;697;2213;3644;2244;5888;1408;1019;4471;3608;1375;;
20190419;2248;2051;764;3059;795;1632;3515;1921;5436;1523;1002;3313;3525;988;;
20190420;1554;2464;652;2882;769;1290;3174;1508;4682;1411;951;2629;2718;753;;
20190421;1421;2399;730;3472;868;1020;3186;1382;4568;1503;920;2186;3038;489;;
20190422;1566;3258;858;4015;1203;1212;3392;1448;4840;1675;930;2469;3580;711;;
20190423;1762;510;431;1159;215;1321;1639;1218;2857;611;439;2526;1796;966;;
20190424;3192;1524;672;2636;582;2538;3698;2512;6210;1295;1057;4929;3588;1769;;
20190425;3896;2611;1060;4369;828;3110;5131;3354;8485;1865;1305;6060;5228;2140;;
20190426;3433;2344;910;3555;735;2665;4474;2854;7328;1783;1155;5277;4468;1758;;
20190427;1519;1268;439;1610;345;1271;2366;1409;3775;819;725;2441;2048;901;;
20190428;1418;1859;428;2041;564;1129;2634;1390;4024;1105;697;2221;2483;735;;
20190429;1854;378;351;1112;234;1489;1815;1200;3015;471;465;2852;1848;1071;;
20190430;1076;249;224;554;104;839;869;671;1540;250;213;1537;950;669;;
20190501;1953;3140;647;3290;872;2108;3739;1775;5514;1607;1071;3058;3694;1105;;
20190502;3591;2453;876;3679;720;3273;4820;3000;7820;1738;1199;6096;4665;1978;;
20190503;1399;583;282;891;147;1254;1644;949;2593;496;455;2222;1410;867;;
20190504;1152;852;268;956;180;1073;1687;1044;2731;492;401;1757;1357;622;;
20190505;349;112;57;221;41;359;337;274;611;78;106;481;442;225;;
20190506;2007;635;350;1326;179;1733;2031;1345;3376;507;514;3109;2032;1176;;
20190507;3279;1403;678;2456;478;2750;3543;2360;5903;1092;855;5021;3472;1758;;
20190508;3559;2255;819;3124;708;3200;4346;2824;7170;1417;966;5848;4294;2040;;
20190509;1901;736;377;1265;266;1740;2144;1493;3637;599;533;3066;2025;1217;;
20190510;3224;2146;750;3038;563;2858;4407;2626;7033;1479;1055;5135;3989;1913;;
20190511;1449;2041;497;1818;468;1457;2439;1359;3798;971;790;2388;2221;837;;
20190512;730;641;204;617;117;679;1043;590;1633;294;293;968;998;378;;
20190513;2046;577;346;1219;257;1762;2119;1402;3521;589;537;3117;2020;1229;;
20190514;2194;725;418;1374;255;1899;2092;1453;3545;623;532;3349;2141;1338;;
20190515;1512;368;287;837;148;1394;1442;999;2441;358;334;2412;1449;1023;;
20190516;1844;723;367;1149;211;1621;2034;1307;3341;511;529;2934;1900;1053;;
20190517;2901;2081;772;2651;580;2616;3729;2387;6116;1278;952;4817;3457;1625;;
20190518;1955;2553;574;2421;617;2367;4838;1941;6779;1207;1034;4054;2716;1182;;
20190519;1834;3487;670;3251;953;1769;3402;1662;5064;1370;959;2658;3302;838;;
20190520;1721;746;371;1321;256;1575;2203;1380;3583;597;581;2876;2031;996;;
20190521;2966;1294;647;2223;402;2524;3065;2282;5347;950;759;4550;3079;1685;;
20190522;1344;285;271;745;145;1122;1061;873;1934;327;311;1961;1186;800;;
20190523;2470;886;477;1551;283;2073;2738;1677;4415;729;676;3707;2489;1403;;
20190524;3540;2922;978;3889;747;3117;5041;2852;7893;1873;1251;5822;4613;1884;;
20190525;2256;3638;851;4028;995;2276;4209;2293;6502;1686;1172;3796;4274;1223;;
20190526;2200;3494;991;3706;879;2195;3636;1921;5557;1681;1063;3241;3767;1073;;
20190527;2688;1255;707;2177;408;2354;3018;1990;5008;1013;627;4298;2920;1515;;
20190528;1931;672;408;1289;214;1658;2218;1342;3560;530;433;3010;1962;1074;;
20190529;1379;342;302;828;117;1129;1288;929;2217;347;314;1987;1343;781;;
20190530;1186;1306;264;1322;258;1397;2416;1192;3608;646;581;2043;1716;729;;
20190531;2601;2506;728;3072;545;2371;4642;2484;7126;1442;961;4539;3735;1315;;
20190601;2070;3415;821;3791;772;2127;3862;1942;5804;1478;1081;3399;3943;1024;;
20190602;2417;4773;1148;6291;1285;2249;4590;2274;6864;1987;1242;3341;5580;1045;;
20190603;4346;2680;1109;5212;886;3708;5469;3364;8833;2039;1373;6673;6047;2222;;
20190604;4755;3175;1289;5823;964;4131;5941;3631;9572;2055;1367;7490;6443;2423;;
20190605;4460;2892;1193;5211;942;3967;5904;3300;9204;2005;1416;7182;6210;2310;;
20190606;3788;1674;859;3106;542;3249;4520;2864;7384;1382;1001;5737;4336;2052;;
20190607;3758;2515;946;4356;785;3298;5309;3199;8508;1686;1165;5920;4895;1976;;
20190608;2186;2797;697;3997;590;1862;4201;2196;6397;1313;947;3571;3780;1002;;
20190609;2076;3947;1037;6613;974;1867;4104;2137;6241;1684;1026;3103;5205;782;;
20190610;2127;4055;964;7361;893;1829;3935;2144;6079;1463;994;3037;5803;921;;
20190611;3928;2662;1186;5427;780;3492;4983;3150;8133;1822;1149;6379;5856;1989;;
20190612;4414;2620;1228;6013;862;3909;5661;3804;9465;2111;1391;7032;6449;2336;;
20190613;4401;2682;1196;5543;818;3851;5679;3767;9446;1941;1267;6891;6056;2331;;
20190614;4006;2677;1155;6006;795;3563;5758;3525;9283;1703;1254;6406;6297;2108;;
20190615;2251;2969;785;5525;512;1960;3512;1917;5429;1206;998;3911;4941;1210;;
20190616;2026;2992;803;4371;793;1688;3611;1919;5530;1406;925;2991;4141;999;;
20190617;4052;2667;1275;4667;824;3812;5220;3421;8641;1983;1201;6914;5731;2237;;
20190618;4555;3073;1279;5436;856;3886;6112;3816;9928;1929;1295;7045;6297;2268;;
20190619;4068;2528;1120;4678;764;3613;5002;3374;8376;1780;1194;6579;5345;2089;;
20190620;1818;4380;875;6258;744;1711;3501;1877;5378;1826;948;2855;5254;995;;
20190621;3008;2708;908;4552;618;2694;4430;2686;7116;1666;1135;4931;4813;1530;;
20190622;1625;2305;555;2494;450;1455;2680;1455;4135;947;739;2639;2815;846;;
20190623;1160;1091;316;1407;414;865;1691;904;2595;711;469;1562;1696;555;;
20190624;4225;2848;1236;4952;908;3766;5342;3264;8606;1985;1135;6788;5810;2130;;
20190625;4422;3244;1297;6054;892;3960;5560;3611;9171;1991;1248;7138;6642;2347;;
20190626;4133;2703;1206;6507;844;3651;5214;3475;8689;1833;1344;6525;6836;2195;;
20190627;3900;2527;1292;5820;728;3542;5144;3187;8331;1668;1115;6371;6135;2106;;
20190628;3626;2910;1369;5440;773;3253;5266;3073;8339;1597;1198;5951;5905;1830;;
20190629;2018;3547;892;5418;692;2366;3807;2133;5940;1418;1205;3725;4685;1088;;
20190630;1782;3557;868;7208;685;1499;3311;1990;5301;1207;852;2778;5603;864;;
20190701;2980;1867;883;4725;547;2486;3792;2665;6457;1520;1003;5120;5051;1606;;
20190702;3682;2546;1073;4137;705;3020;5012;3112;8124;1947;1218;6504;5039;1905;;
20190703;3986;3106;1270;5727;935;3499;5594;3464;9058;2456;1422;6975;6392;2102;;
20190704;3897;2945;1205;5506;806;3151;5397;3353;8750;2081;1258;6792;6162;1963;;
20190705;3404;2834;1118;4499;811;2693;4741;2927;7668;1862;1229;5721;5203;1639;;
20190706;2018;3826;798;5827;608;1791;3742;1936;5678;1275;905;3208;4880;899;;
20190707;1400;2297;536;2258;649;1242;2646;1342;3988;1049;658;2109;2716;611;;
20190708;3405;2266;922;3738;600;2728;4536;2822;7358;1784;1026;5776;4729;1707;;
20190709;3691;2693;1040;4233;792;3027;4904;3139;8043;2069;1123;6320;5243;1842;;
20190710;3658;2732;973;4061;800;3002;4896;3022;7918;2062;1086;6100;5035;1825;;
20190711;3560;2815;1023;4228;790;2944;4788;2956;7744;1973;1764;6100;4962;1817;;
20190712;1618;1070;456;1437;271;1402;2404;1457;3861;740;661;2738;2141;964;;
20190713;686;642;195;616;154;692;1223;662;1885;349;337;1174;1032;420;;
20190714;1373;2701;417;2322;655;1283;2481;1344;3825;1196;1133;1990;2374;565;;
20190715;3565;2458;1030;4171;894;2857;4749;2901;7650;2116;1892;5778;4957;1663;;
20190716;3887;2738;1170;4821;868;2667;5126;3441;8567;2069;1846;6280;5543;1739;;
20190717;3870;2919;1128;5107;934;2597;5530;3332;8862;2093;1870;6374;5830;1800;;
20190718;3774;2616;1087;5044;785;2471;5177;3159;8336;1950;1742;6111;5750;1755;;
20190719;3127;2506;992;4783;647;2037;4941;2669;7610;1701;1517;5306;5046;1470;;
20190720;1781;3201;690;5222;657;1483;3705;1939;5644;1255;1230;2984;4339;870;;
20190721;1684;3134;755;3369;731;1323;3285;1660;4945;1296;1228;2445;3302;709;;
20190722;3895;2461;1147;4956;868;2374;4829;2997;7826;1913;1708;5849;5393;1657;;
20190723;4105;3113;1122;6358;866;2366;5335;3376;8711;2005;1788;6252;6397;1771;;
20190724;3978;2788;1180;6365;864;2435;5240;3331;8571;1952;1746;6007;6399;1781;;
20190725;3871;2728;1048;6076;652;2120;5003;3316;8319;1849;1653;5995;6201;1669;;
20190726;3385;2684;970;5950;633;1836;4712;2807;7519;1575;1405;5358;5745;1421;;
20190727;1322;1292;401;1471;268;935;2230;1128;3358;636;626;2247;1807;530;;
20190728;1768;2305;495;2387;620;1015;2993;1482;4475;996;945;2431;2715;643;;
20190729;3306;1785;921;3555;622;2032;4238;2663;6901;1562;1398;5173;4253;1429;;
20190730;3800;2812;1029;4803;867;2313;4912;3163;8075;1901;1699;5844;5484;1643;;
20190731;3570;2355;971;4226;782;2148;4577;2727;7304;1543;1377;5508;4947;1520;;
20190801;3844;2930;1165;5487;804;2182;4988;2970;7958;1656;1421;5851;5659;1553;;
20190802;3006;2168;909;3452;601;1881;4174;2300;6474;1414;1156;4865;4166;1299;;
20190803;1535;1737;578;2324;418;1093;2578;1292;3870;851;648;2380;2277;656;;
20190804;2207;4189;949;5467;1242;1321;4119;1978;6097;1742;904;3151;4603;779;;
20190805;3677;2549;1044;4638;854;2296;4742;3031;7773;1951;1350;5490;5135;1527;;
20190806;2948;1924;796;3451;557;1858;3894;2479;6373;1497;1112;4598;4010;1328;;
20190807;3642;2594;1075;4314;757;2214;4600;2799;7399;1910;1396;5516;5097;1593;;
20190808;3620;2770;1004;4662;848;2248;4830;3146;7976;1846;1351;5635;5189;1575;;
20190809;3315;2905;998;5414;758;2102;4667;2909;7576;1692;1247;4870;5366;1386;;
20190810;1756;3110;726;4578;574;1233;3244;1846;5090;1113;757;2861;3967;714;;
20190811;1948;3363;904;4947;833;1213;3603;1864;5467;1370;819;2594;4282;659;;
20190812;3057;2281;920;4457;612;1978;4223;2710;6933;1638;1201;4857;4840;1376;;
20190813;3160;2013;860;3512;566;1986;4209;2604;6813;1588;1193;5107;4303;1415;;
20190814;3014;1947;821;3127;568;2059;4190;2528;6718;1408;1143;4820;3978;1359;;
20190815;2027;3996;788;4878;955;1543;3773;1841;5614;1597;854;2936;4177;849;;
20190816;2075;1564;728;2496;475;1436;3502;1861;5363;1020;832;3229;3166;861;;
20190817;1967;2977;744;3524;750;1391;3643;1799;5442;1198;771;2779;3426;730;;
20190818;1846;3314;760;6060;781;1182;3443;1809;5252;1237;744;2523;5070;664;;
20190819;3409;2325;1055;4993;714;2032;4286;2914;7200;1806;1378;5272;5272;1577;;
20190820;3450;2430;1034;4508;801;2150;4701;2932;7633;1744;1379;5575;5289;1602;;
20190821;3115;1571;735;2926;589;2009;3951;2565;6516;1407;1188;5025;3978;1533;;
20190822;3320;2401;971;3555;697;2087;4438;2920;7358;1621;1373;5329;4438;1650;;
20190823;3216;2406;1022;4139;708;1982;4440;2697;7137;1668;1286;5049;4595;1439;;
20190824;2002;3012;810;4681;738;1358;3782;1929;5711;1425;884;3005;4283;882;;
20190825;1746;3047;747;3805;772;1176;3147;1617;4764;1274;771;2393;3555;721;;
20190826;3612;2109;934;4032;810;2324;4706;2925;7631;1786;1357;5611;5023;1660;;
20190827;3837;2624;1037;5143;838;2540;5171;3413;8584;1934;1467;6303;5849;1765;;
20190828;3805;2754;1015;5472;922;2554;5037;3291;8328;1933;1051;6125;6087;1902;;
20190829;3604;2137;1000;4762;803;2318;4672;3080;7752;1782;883;5890;5493;1848;;
20190830;3342;2233;927;4507;743;2218;4504;2710;7214;1718;804;5316;5078;1584;;
20190831;2181;3176;851;5792;674;1572;3743;2077;5820;1387;833;3175;5301;974;;
20190901;1823;3251;849;5107;769;1245;3511;1828;5339;1326;1132;2626;4918;920;;
20190902;1371;451;385;1023;214;872;1525;1002;2527;469;403;2131;2647;798;;
20190903;3820;2096;1089;3755;803;2413;4761;2891;7652;1770;1515;6154;4869;1990;;
20190904;4154;2679;1140;4581;937;2561;5122;3212;8334;1963;1677;6650;5534;2097;;
20190905;4144;2542;1152;4541;829;2496;5098;3288;8386;1955;1670;6338;5542;1965;;
20190906;2734;1342;662;2261;394;1710;3445;2201;5646;1148;984;4579;3196;1422;;
20190907;655;463;189;563;100;505;836;503;1339;237;203;958;1493;400;;
20190908;1653;2505;483;2493;665;1050;2721;1394;4115;1224;1045;2578;3111;720;;
20190909;2514;806;536;1772;314;1511;2733;1874;4607;938;797;3884;3763;1283;;
20190910;3676;1939;915;3334;690;2191;4669;2881;7550;1701;1456;5954;4524;1941;;
20190911;3898;2356;1130;3678;601;2414;4880;3029;7909;1906;1629;6355;5021;1955;;
20190912;3805;2295;1067;3414;737;2434;4963;3118;8081;1837;1566;6433;4898;1941;;
20190913;3534;2549;1087;3690;682;2180;4727;2848;7575;1673;1429;6006;4810;1918;;
20190914;2169;2263;636;2837;597;1512;3205;1854;5059;1226;1311;3413;3098;1032;;
20190915;2341;3617;886;4439;1083;1374;3536;2080;5616;1699;1701;3190;4265;843;;
20190916;3841;2301;1077;4093;761;2324;4644;2856;7500;1783;1569;6030;5113;1861;;
20190917;3550;1301;858;2854;515;2087;3902;2532;6434;1356;1196;5337;4100;1916;;
20190918;3819;1844;897;3242;681;2318;4333;2801;7134;1578;1392;5906;4439;1972;;
20190919;3507;1559;872;2966;530;2101;4094;2623;6717;1462;1287;5483;4190;1850;;
20190920;3127;1675;792;2764;623;1951;4018;2302;6320;1303;1145;4915;3824;1614;;
20190921;1724;2129;681;2381;529;1403;3142;1784;4926;1165;1262;2910;2972;1019;;
20190922;1669;2514;552;2644;633;1254;2982;1379;4361;1227;1082;2454;2946;737;;
20190923;3354;1400;847;2843;549;2031;3844;2543;6387;1450;1239;5288;3950;1793;;
20190924;3723;1732;949;3161;587;2157;4256;2927;7183;1456;1243;6124;4760;1930;;
20190925;3237;1126;710;2399;424;1892;3532;2355;5887;1219;1039;5379;3745;1620;;
20190926;3486;1633;825;2973;536;2046;4067;2685;6752;1340;1148;5453;4178;1834;;
20190927;3156;1876;839;2844;550;1935;4604;2556;7160;1234;1056;5341;3879;1696;;
20190928;1079;541;246;770;165;735;1551;927;2478;316;338;1660;1322;599;;
20190929;2032;3000;1038;2966;930;1476;3206;1748;4954;1436;1443;2779;3484;883;;
20190930;3123;1116;798;2297;441;1940;3636;2386;6022;1170;998;5013;3564;1742;;
20191001;4195;2399;1576;3733;765;2465;5070;3166;8236;1733;1522;6747;4935;2216;;
20191002;2156;590;616;1424;278;1154;2105;1419;3524;711;628;3429;2283;1262;;
20191003;2943;1056;668;2021;328;1716;3247;2127;5374;950;840;4966;3136;1577;;
20191004;2994;1487;706;2147;440;1652;3331;2137;5468;1139;1000;4902;3167;1571;;
20191005;842;263;192;439;112;582;900;664;1564;259;317;1203;889;417;;
20191006;1377;1638;408;1533;452;914;1938;1054;2992;914;876;1814;1947;609;;
20191007;2849;999;646;2040;388;1739;3265;2092;5357;999;879;4737;3089;1651;;
20191008;3207;1149;739;2296;420;1833;3556;2436;5992;1115;979;5178;3330;1761;;
20191009;2838;898;708;1938;363;1528;3029;2063;5092;892;785;4581;2969;1606;;
20191010;3125;1101;692;2171;409;1794;3475;2332;5807;1093;960;5180;3338;1752;;
20191011;3147;1739;841;2719;594;1848;3767;2444;6211;1283;1130;5043;3671;1692;;
20191012;1539;1518;455;1838;382;1201;2375;1443;3818;823;1008;2504;2850;875;;
20191013;1418;1685;459;1688;362;942;2105;1068;3173;772;740;2059;2123;603;;
20191014;3156;1137;758;2252;475;1856;3470;2367;5837;1225;1077;4989;3415;1796;;
20191015;3652;1465;795;2819;547;2073;3928;2687;6615;1317;1161;5821;3926;2013;;
20191016;2613;900;608;1782;359;1565;2856;1931;4787;909;802;4336;3022;1504;;
20191017;3297;1361;814;2379;497;1894;3640;2431;6071;1224;1078;5203;3572;1797;;
20191018;2990;1201;759;2235;562;1821;3236;2283;5519;1174;1030;4731;3253;1611;;
20191019;1267;976;350;1070;225;1064;2028;1273;3301;587;719;2199;1629;789;;
20191020;1493;1419;451;1664;437;984;2035;1115;3150;863;825;1983;2533;661;;
20191021;3271;1474;818;2502;544;1986;3711;2520;6231;1349;1187;5283;3586;1843;;
20191022;3625;1339;834;2625;580;2016;3930;2671;6601;1408;1242;5706;3686;1955;;
20191023;3464;1196;775;2492;476;2038;3897;2771;6668;1237;1084;5620;3784;1820;;
20191024;3628;1582;874;2905;645;2143;4418;2868;7286;1476;1296;5894;4077;1940;;
20191025;3201;1529;788;2443;517;1841;3980;2497;6477;1228;1079;5186;3515;1744;;
20191026;1616;2122;590;2311;612;1232;3559;1693;5252;1145;1102;2531;2897;796;;
20191027;1782;2555;642;2627;866;1301;3073;1591;4664;1422;1368;2455;2791;784;;
20191028;1987;364;384;1096;195;1091;2011;1519;3530;516;455;3144;1926;1006;;
20191029;2279;578;468;1366;276;1333;2679;1849;4528;640;564;3919;2210;1244;;
20191030;2209;533;453;1404;237;1262;2420;1647;4067;718;631;3780;2233;1196;;
20191031;2010;529;453;1263;228;1213;2134;1460;3594;586;512;3296;2003;1111;;
20191101;857;744;264;902;211;697;1373;861;2234;477;381;1369;1251;434;;
20191102;894;570;298;723;217;793;1475;915;2390;477;498;1657;1157;565;;
20191103;1112;1190;277;1088;342;781;1698;908;2606;605;483;1560;1482;530;;
20191104;2354;683;566;1573;310;1365;2460;1779;4239;851;644;3701;2559;1265;;
20191105;1546;301;335;794;167;757;1465;1055;2520;400;303;2204;1486;810;;
20191106;2746;872;639;1875;394;1608;3226;2297;5523;999;754;4691;3058;1535;;
20191107;2788;785;635;1825;354;1646;2800;2200;5000;923;699;4444;2956;1574;;
20191108;2349;605;522;1566;302;1428;2519;1796;4315;737;556;3680;2472;1365;;
20191109;808;240;206;481;103;670;1080;690;1770;264;271;1239;937;566;;
20191110;973;752;232;825;231;756;1289;800;2089;517;412;1317;1370;525;;
20191111;2353;651;505;1610;295;1436;2345;1769;4114;791;592;3617;2436;1384;;
20191112;1645;354;373;911;186;889;1390;1167;2557;467;355;2483;1584;1030;;
20191113;1529;232;368;780;162;773;1313;981;2294;352;262;2243;1526;894;;
20191114;2389;643;552;1479;252;1294;2420;1691;4111;719;544;3681;2325;1295;;
20191115;1823;495;394;1236;250;1175;2094;1500;3594;633;477;2955;2056;1060;;
20191116;1050;617;316;795;198;844;1488;949;2437;478;501;1665;1262;703;;
