NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;YEAR;REF_YEAR;CAPITAL;CARS_PER_1000_CAPITA
AT1;AT13;AT130;90001;0;2008;2017;Wien;393,2406307
AT1;AT13;AT130;90001;0;2009;2017;Wien;395,1622935
AT1;AT13;AT130;90001;0;2010;2017;Wien;396,0242486
AT1;AT13;AT130;90001;0;2011;2017;Wien;396,1147602
AT1;AT13;AT130;90001;0;2012;2017;Wien;395,7243792
AT1;AT13;AT130;90001;0;2013;2017;Wien;391,3364338
AT1;AT13;AT130;90001;0;2014;2017;Wien;386,7324448
AT1;AT13;AT130;90001;0;2015;2017;Wien;381,4365364
AT1;AT13;AT130;90001;0;2016;2017;Wien;376,5010385
AT1;AT13;AT130;90001;0;2017;2017;Wien;375,7034497
