,Variables,1960,1965,1970,1975,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Total Life Expectancy At Birth (Residents),62.9,64.5,65.8,66.8,72.1,72.5,72.6,73.0,73.3,73.9,74.2,74.5,74.7,74.9,75.3,75.6,75.9,76.1,76.2,76.3,76.6,76.9,77.3,77.6,78.0,78.3,78.6,79.1,79.6,80.1,80.3,80.6,80.9,81.4,81.7,81.9,82.1,82.4,82.6,82.9,83.0,83.2,83.4,83.6
