TIPO DE TRANSPORTE	Ciudad	Viajeros y tasas	Periodo	Total
Transporte urbano regular por autobús	28079 Madrid	Viajeros transportados	2020M09	19.775
Transporte urbano regular por autobús	28079 Madrid	Variación anual	2020M09	-45,8
Transporte urbano regular por autobús	28079 Madrid	Variación de la media en lo que va de año	2020M09	-46,6
Urbano por metro	28079 Madrid	Viajeros transportados	2020M09	27.861
Urbano por metro	28079 Madrid	Variación anual	2020M09	-50,5
Urbano por metro	28079 Madrid	Variación de la media en lo que va de año	2020M09	-47,3
