Region,Type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Berlin,Museums per 100.000 inhabitants,3.37,3.78,3.77,3.78,3.69,3.56,3.44,3.63,3.67,3.75,3.9,4.15,3.97,4.18,4.12,4.12,3.8,4.04,3.95
Berlin,Cinemas (screens) per 100.000 inhabitants,8.57,8.53,8.93,8.65,8.8,8.48,8.49,8.34,8.28,8.25,7.92,8.0,7.73,7.77,7.72,7.76,7.69,7.97,7.98
