Year,Month,num_dias_lluvia
1988,10,13.0
1988,11,19.0
1988,12,23.0
1989,01,10.0
1989,02,16.0
1989,03,15.0
1989,04,8.0
1989,05,6.0
1989,06,13.0
1989,07,15.0
1989,08,12.0
1989,09,7.0
1989,10,14.0
1989,11,14.0
1989,12,15.0
1990,01,21.0
1990,02,17.0
1990,03,14.0
1990,04,13.0
1990,05,8.0
1990,06,18.0
1990,07,8.0
1990,08,13.0
1990,09,21.0
1990,10,7.0
1990,11,15.0
1990,12,18.0
1991,01,13.0
1991,02,13.0
1991,03,10.0
1991,04,13.0
1991,05,13.0
1991,06,22.0
1991,07,11.0
1991,08,13.0
1991,09,9.0
1991,10,11.0
1991,11,13.0
1991,12,14.0
1992,01,15.0
1992,02,18.0
1992,03,19.0
1992,04,16.0
1992,05,8.0
1992,06,5.0
1992,07,12.0
1992,08,15.0
1992,09,10.0
1992,10,17.0
1992,11,23.0
1992,12,11.0
1993,01,18.0
1993,02,14.0
1993,03,11.0
1993,04,7.0
1993,05,15.0
1993,06,15.0
1993,07,23.0
1993,08,16.0
1993,09,14.0
1993,10,14.0
1993,11,14.0
1993,12,24.0
1994,01,26.0
1994,02,8.0
1994,03,26.0
1994,04,11.0
1994,05,19.0
1994,06,11.0
1994,07,4.0
1994,08,14.0
1994,09,14.0
1994,10,8.0
1994,11,15.0
1994,12,17.0
1995,01,17.0
1995,02,22.0
1995,03,16.0
1995,04,16.0
1995,05,11.0
1995,06,17.0
1995,07,8.0
1995,08,8.0
1995,09,15.0
1995,10,8.0
1995,11,14.0
1995,12,7.0
1996,01,1.0
1996,02,13.0
1996,03,7.0
1996,04,7.0
1996,05,17.0
1996,06,12.0
1996,07,13.0
1996,08,12.0
1996,09,13.0
1996,10,13.0
1996,11,18.0
1996,12,7.0
1997,01,7.0
1997,02,12.0
1997,03,8.0
1997,04,11.0
1997,05,12.0
1997,06,12.0
1997,07,9.0
1997,08,5.0
1997,09,7.0
1997,10,14.0
1997,11,9.0
1997,12,19.0
1998,01,18.0
1998,02,11.0
1998,03,15.0
1998,04,19.0
1998,05,10.0
1998,06,17.0
1998,07,19.0
1998,08,15.0
1998,09,10.0
1998,10,19.0
1998,11,14.0
1998,12,13.0
1999,01,16.0
1999,02,19.0
1999,03,12.0
1999,04,12.0
1999,05,11.0
1999,06,8.0
1999,07,13.0
1999,08,14.0
1999,09,8.0
1999,10,14.0
1999,11,14.0
1999,12,22.0
2000,01,16.0
2000,02,21.0
2000,03,21.0
2000,04,8.0
2000,05,11.0
2000,06,14.0
2000,07,15.0
2000,08,15.0
2000,09,11.0
2000,10,16.0
2000,11,11.0
2000,12,16.0
2001,01,14.0
2001,02,15.0
2001,03,18.0
2001,04,17.0
2001,05,10.0
2001,06,16.0
