Gender,Region,2002/04,2003/05,2004/06,2005/07,2006/08,2007/09,2008/10,2009/11,2010/12,2011/13,2012/14,2013/15,2014/16,2015/17,2016/18,2017/19
Male,Berlin,75.69,75.84,76.27,76.6,76.87,77.17,77.38,77.6,77.29,77.55,77.78,77.76,77.9,78.09,78.3,78.56
Female,Berlin,81.19,81.28,81.57,81.87,82.03,82.19,82.35,82.55,82.64,82.8,82.96,83.02,83.16,83.16,83.19,83.36
