GENESIS-Tabelle: 12521-0021
Foreigners: Länder, reference date, sex/age years/marital;;;;;
status, country groups/citizenship;;;;;
Statistics of foreigners;;;;;
Foreigners (number);;;;;
;;;Sex;Sex;Sex
;;;Male;Female;Total
2019-12-31;Berlin;EU-15 third countries (until 2004-04-30);339110;315350;654460
2019-12-31;Berlin;EC-12 (until 1994-12-31);76040;60490;136530
2019-12-31;Berlin;EC-12 third countries (until 1994-12-31);349665;326510;676175
2019-12-31;Berlin;EC-10 (until 1985-12-31);63145;49805;112945
2019-12-31;Berlin;EC-10 third countries (until 1985-12-31);362560;337200;699760
2019-12-31;Berlin;EC-9 (until 1980-12-31);54005;42035;96045
2019-12-31;Berlin;EC-9 third countries (until 1980-12-31);371695;344965;716665
2019-12-31;Berlin;EEC-6 (until 1972-12-31);37645;30970;68610
2019-12-31;Berlin;EEC-6 third countries (until 1972-12-31);388060;356035;744095
2019-12-31;Berlin;Africa;21900;14200;36100
2019-12-31;Berlin;North Africa;9545;5160;14705
2019-12-31;Berlin;West Africa;6360;3865;10225
2019-12-31;Berlin;Central Africa;2135;1835;3970
2019-12-31;Berlin;East Africa;2615;2235;4850
2019-12-31;Berlin;Southern Africa;1250;1105;2355
2019-12-31;Berlin;America;22920;22640;45565
2019-12-31;Berlin;North America;13110;12105;25220
2019-12-31;Berlin;Central America and Caribbean;2505;2420;4920
2019-12-31;Berlin;South America;7305;8115;15420
2019-12-31;Berlin;Asia;93830;79865;173700
2019-12-31;Berlin;South West Asia;49120;34345;83465
2019-12-31;Berlin;South and South East Asia;25170;25005;50175
2019-12-31;Berlin;East and Central Asia;19540;20520;40060
2019-12-31;Berlin;Australia and Oceania;2730;2230;4960
2019-12-31;Berlin;Countries of origin of foreign workers;131755;116890;248645
2019-12-31;Berlin;Territory of former Yugoslavia;31935;30585;62520
2019-12-31;Berlin;Territory of former Serbia and Montenegro;10085;9885;19965
2019-12-31;Berlin;Territory of the former Soviet Union;26675;38050;64730
2019-12-31;Berlin;Territory of former Czechoslovakia;2170;2790;4960
2019-12-31;Berlin;United Kingdom incl. British overseas territories;12160;7775;19930
2019-12-31;Brandenburg;Total;74630;57775;132405
2019-12-31;Brandenburg;Europe;40255;33590;73845
2019-12-31;Brandenburg;EU-28 (since 2013-07-01);28000;20225;48225
2019-12-31;Brandenburg;EU-28 third countries (since 2013-07-01);46630;37550;84180
2019-12-31;Brandenburg;EU-27 (until 2013-06-30);27415;19850;47270
2019-12-31;Brandenburg;EU-27 third countries (until 2013-06-30);47215;37920;85135
2019-12-31;Brandenburg;EU-25 (until 2006-12-31);21110;15975;37085
2019-12-31;Brandenburg;EU-25 third countries (until 2006-12-31);53520;41800;95320
2019-12-31;Brandenburg;EU-15 (until 2004-04-30);6030;3925;9960
2019-12-31;Brandenburg;EU-15 third countries (until 2004-04-30);68600;53845;122445
2019-12-31;Brandenburg;EC-12 (until 1994-12-31);5215;3205;8420
2019-12-31;Brandenburg;EC-12 third countries (until 1994-12-31);69415;54570;123985
2019-12-31;Brandenburg;EC-10 (until 1985-12-31);4305;2605;6910
2019-12-31;Brandenburg;EC-10 third countries (until 1985-12-31);70325;55170;125495
2019-12-31;Brandenburg;EC-9 (until 1980-12-31);3335;2050;5385
2019-12-31;Brandenburg;EC-9 third countries (until 1980-12-31);71295;55725;127020
2019-12-31;Brandenburg;EEC-6 (until 1972-12-31);2470;1615;4085
2019-12-31;Brandenburg;EEC-6 third countries (until 1972-12-31);72160;56160;128320
2019-12-31;Brandenburg;Africa;6830;3640;10465
2019-12-31;Brandenburg;North Africa;1050;435;1490
2019-12-31;Brandenburg;West Africa;1045;460;1505
2019-12-31;Brandenburg;Central Africa;1985;815;2795
2019-12-31;Brandenburg;East Africa;2595;1790;4385
2019-12-31;Brandenburg;Southern Africa;150;140;290
