GENESIS-Tabelle: 12521-0021
Foreigners: Länder, reference date, sex/age years/marital;;;;;
status, country groups/citizenship;;;;;
Statistics of foreigners;;;;;
Foreigners (number);;;;;
;;;Sex;Sex;Sex
;;;Male;Female;Total
2019-12-31;Nordrhein-Westfalen;South America;7215;12075;19290
2019-12-31;Nordrhein-Westfalen;Asia;334675;269775;604450
2019-12-31;Nordrhein-Westfalen;South West Asia;223315;166790;390105
2019-12-31;Nordrhein-Westfalen;South and South East Asia;46860;45045;91905
2019-12-31;Nordrhein-Westfalen;East and Central Asia;64505;57940;122445
2019-12-31;Nordrhein-Westfalen;Australia and Oceania;1555;1175;2730
2019-12-31;Nordrhein-Westfalen;Countries of origin of foreign workers;602285;545920;1148205
2019-12-31;Nordrhein-Westfalen;Territory of former Yugoslavia;143690;133190;276880
2019-12-31;Nordrhein-Westfalen;Territory of former Serbia and Montenegro;68650;64795;133450
2019-12-31;Nordrhein-Westfalen;Territory of the former Soviet Union;64960;92185;157145
2019-12-31;Nordrhein-Westfalen;Territory of former Czechoslovakia;5840;6470;12310
2019-12-31;Nordrhein-Westfalen;United Kingdom incl. British overseas territories;13775;7155;20930
2019-12-31;Rheinland-Pfalz;Total;266935;229955;496890
2019-12-31;Rheinland-Pfalz;Europe;185470;163760;349235
2019-12-31;Rheinland-Pfalz;EU-28 (since 2013-07-01);128145;105915;234060
2019-12-31;Rheinland-Pfalz;EU-28 third countries (since 2013-07-01);138790;124040;262830
2019-12-31;Rheinland-Pfalz;EU-27 (until 2013-06-30);120295;99195;219490
2019-12-31;Rheinland-Pfalz;EU-27 third countries (until 2013-06-30);146640;130760;277400
2019-12-31;Rheinland-Pfalz;EU-25 (until 2006-12-31);85350;72595;157950
2019-12-31;Rheinland-Pfalz;EU-25 third countries (until 2006-12-31);181585;157355;338940
2019-12-31;Rheinland-Pfalz;EU-15 (until 2004-04-30);50705;42235;92945
2019-12-31;Rheinland-Pfalz;EU-15 third countries (until 2004-04-30);216230;187715;403950
2019-12-31;Rheinland-Pfalz;EC-12 (until 1994-12-31);47620;38990;86610
2019-12-31;Rheinland-Pfalz;EC-12 third countries (until 1994-12-31);219320;190965;410280
2019-12-31;Rheinland-Pfalz;EC-10 (until 1985-12-31);39900;32350;72250
2019-12-31;Rheinland-Pfalz;EC-10 third countries (until 1985-12-31);227040;197605;424640
2019-12-31;Rheinland-Pfalz;EC-9 (until 1980-12-31);34745;28150;62895
2019-12-31;Rheinland-Pfalz;EC-9 third countries (until 1980-12-31);232195;201805;433995
2019-12-31;Rheinland-Pfalz;EEC-6 (until 1972-12-31);32075;26275;58350
2019-12-31;Rheinland-Pfalz;EEC-6 third countries (until 1972-12-31);234860;203680;438540
2019-12-31;Rheinland-Pfalz;Africa;14830;10080;24910
2019-12-31;Rheinland-Pfalz;North Africa;4915;3210;8125
2019-12-31;Rheinland-Pfalz;West Africa;2410;1810;4220
2019-12-31;Rheinland-Pfalz;Central Africa;1280;840;2120
2019-12-31;Rheinland-Pfalz;East Africa;5990;3925;9915
2019-12-31;Rheinland-Pfalz;Southern Africa;230;300;525
2019-12-31;Rheinland-Pfalz;America;7405;7300;14700
2019-12-31;Rheinland-Pfalz;North America;5445;3510;8955
2019-12-31;Rheinland-Pfalz;Central America and Caribbean;605;990;1595
2019-12-31;Rheinland-Pfalz;South America;1350;2800;4150
2019-12-31;Rheinland-Pfalz;Asia;56720;47005;103725
2019-12-31;Rheinland-Pfalz;South West Asia;34555;24675;59235
2019-12-31;Rheinland-Pfalz;South and South East Asia;9315;12015;21325
2019-12-31;Rheinland-Pfalz;East and Central Asia;12850;10315;23165
2019-12-31;Rheinland-Pfalz;Australia and Oceania;265;200;465
2019-12-31;Rheinland-Pfalz;Countries of origin of foreign workers;90310;76405;166715
2019-12-31;Rheinland-Pfalz;Territory of former Yugoslavia;26035;22480;48515
2019-12-31;Rheinland-Pfalz;Territory of former Serbia and Montenegro;10795;9620;20410
2019-12-31;Rheinland-Pfalz;Territory of the former Soviet Union;12920;20070;32990
2019-12-31;Rheinland-Pfalz;Territory of former Czechoslovakia;1810;2120;3935
2019-12-31;Rheinland-Pfalz;United Kingdom incl. British overseas territories;2115;1320;3435
2019-12-31;Saarland;Total;66710;59385;126095
2019-12-31;Saarland;Europe;41880;39850;81730
2019-12-31;Saarland;EU-28 (since 2013-07-01);31775;29040;60815
2019-12-31;Saarland;EU-28 third countries (since 2013-07-01);34935;30345;65280
2019-12-31;Saarland;EU-27 (until 2013-06-30);31000;28395;59395
2019-12-31;Saarland;EU-27 third countries (until 2013-06-30);35710;30990;66700
2019-12-31;Saarland;EU-25 (until 2006-12-31);24065;22140;46205
2019-12-31;Saarland;EU-25 third countries (until 2006-12-31);42645;37245;79890
2019-12-31;Saarland;EU-15 (until 2004-04-30);19180;17260;36440
2019-12-31;Saarland;EU-15 third countries (until 2004-04-30);47530;42125;89655
2019-12-31;Saarland;EC-12 (until 1994-12-31);18540;16670;35210
2019-12-31;Saarland;EC-12 third countries (until 1994-12-31);48170;42720;90885
2019-12-31;Saarland;EC-10 (until 1985-12-31);17510;15750;33255
2019-12-31;Saarland;EC-10 third countries (until 1985-12-31);49200;43635;92840
2019-12-31;Saarland;EC-9 (until 1980-12-31);16720;15050;31770
2019-12-31;Saarland;EC-9 third countries (until 1980-12-31);49990;44335;94325
2019-12-31;Saarland;EEC-6 (until 1972-12-31);16300;14655;30955
2019-12-31;Saarland;EEC-6 third countries (until 1972-12-31);50410;44730;95140
2019-12-31;Saarland;Africa;2690;1920;4615
2019-12-31;Saarland;North Africa;1075;705;1775
2019-12-31;Saarland;West Africa;495;470;970
2019-12-31;Saarland;Central Africa;255;200;455
2019-12-31;Saarland;East Africa;825;490;1315
2019-12-31;Saarland;Southern Africa;45;60;100
2019-12-31;Saarland;America;930;1105;2035
2019-12-31;Saarland;North America;530;365;895
2019-12-31;Saarland;Central America and Caribbean;130;215;345
2019-12-31;Saarland;South America;270;525;800
2019-12-31;Saarland;Asia;20320;15890;36210
2019-12-31;Saarland;South West Asia;16565;11725;28290
2019-12-31;Saarland;South and South East Asia;1675;2490;4170
2019-12-31;Saarland;East and Central Asia;2075;1675;3750
2019-12-31;Saarland;Australia and Oceania;40;25;65
2019-12-31;Saarland;Countries of origin of foreign workers;21970;18700;40670
2019-12-31;Saarland;Territory of former Yugoslavia;3840;3515;7355
2019-12-31;Saarland;Territory of former Serbia and Montenegro;1875;1780;3650
2019-12-31;Saarland;Territory of the former Soviet Union;2245;3665;5910
2019-12-31;Saarland;Territory of former Czechoslovakia;465;435;900
2019-12-31;Saarland;United Kingdom incl. British overseas territories;325;300;625
2019-12-31;Sachsen;Total;124345;91365;215715
2019-12-31;Sachsen;Europe;58965;48290;107255
2019-12-31;Sachsen;EU-28 (since 2013-07-01);42450;30730;73180
2019-12-31;Sachsen;EU-28 third countries (since 2013-07-01);81895;60635;142535
2019-12-31;Sachsen;EU-27 (until 2013-06-30);41330;30155;71490
2019-12-31;Sachsen;EU-27 third countries (until 2013-06-30);83015;61210;144225
2019-12-31;Sachsen;EU-25 (until 2006-12-31);31600;23825;55425
2019-12-31;Sachsen;EU-25 third countries (until 2006-12-31);92745;67540;160285
2019-12-31;Sachsen;EU-15 (until 2004-04-30);11000;7170;18175
2019-12-31;Sachsen;EU-15 third countries (until 2004-04-30);113345;84195;197540
2019-12-31;Sachsen;EC-12 (until 1994-12-31);9705;6190;15900
2019-12-31;Sachsen;EC-12 third countries (until 1994-12-31);114640;85175;199815
2019-12-31;Sachsen;EC-10 (until 1985-12-31);7465;4770;12235
2019-12-31;Sachsen;EC-10 third countries (until 1985-12-31);116885;86595;203480
2019-12-31;Sachsen;EC-9 (until 1980-12-31);5530;3510;9040
2019-12-31;Sachsen;EC-9 third countries (until 1980-12-31);118815;87855;206670
2019-12-31;Sachsen;EEC-6 (until 1972-12-31);4360;2915;7275
2019-12-31;Sachsen;EEC-6 third countries (until 1972-12-31);119990;88450;208440
2019-12-31;Sachsen;Africa;9900;4185;14085
2019-12-31;Sachsen;North Africa;5260;2000;7265
2019-12-31;Sachsen;West Africa;1220;460;1680
2019-12-31;Sachsen;Central Africa;570;325;895
2019-12-31;Sachsen;East Africa;2480;1210;3685
2019-12-31;Sachsen;Southern Africa;370;190;560
2019-12-31;Sachsen;America;4360;3935;8300
2019-12-31;Sachsen;North America;1415;1130;2545
2019-12-31;Sachsen;Central America and Caribbean;790;710;1500
2019-12-31;Sachsen;South America;2155;2100;4255
2019-12-31;Sachsen;Asia;48560;33330;81890
2019-12-31;Sachsen;South West Asia;24210;15850;40060
2019-12-31;Sachsen;South and South East Asia;12135;8605;20740
2019-12-31;Sachsen;East and Central Asia;12215;8875;21090
2019-12-31;Sachsen;Australia and Oceania;200;125;325
2019-12-31;Sachsen;Countries of origin of foreign workers;17165;9825;26990
2019-12-31;Sachsen;Territory of former Yugoslavia;4875;2915;7790
2019-12-31;Sachsen;Territory of former Serbia and Montenegro;2360;1490;3850
2019-12-31;Sachsen;Territory of the former Soviet Union;11610;15785;27395
2019-12-31;Sachsen;Territory of former Czechoslovakia;4785;5725;10510
2019-12-31;Sachsen;United Kingdom incl. British overseas territories;870;435;1300
2019-12-31;Sachsen-Anhalt;Total;68965;47765;116730
2019-12-31;Sachsen-Anhalt;Europe;31735;23030;54765
2019-12-31;Sachsen-Anhalt;EU-28 (since 2013-07-01);22910;14195;37105
2019-12-31;Sachsen-Anhalt;EU-28 third countries (since 2013-07-01);46055;33575;79630
2019-12-31;Sachsen-Anhalt;EU-27 (until 2013-06-30);22085;13675;35760
2019-12-31;Sachsen-Anhalt;EU-27 third countries (until 2013-06-30);46880;34090;80970
2019-12-31;Sachsen-Anhalt;EU-25 (until 2006-12-31);14775;8945;23720
2019-12-31;Sachsen-Anhalt;EU-25 third countries (until 2006-12-31);54190;38820;93015
2019-12-31;Sachsen-Anhalt;EU-15 (until 2004-04-30);4445;2580;7025
2019-12-31;Sachsen-Anhalt;EU-15 third countries (until 2004-04-30);64525;45185;109710
2019-12-31;Sachsen-Anhalt;EC-12 (until 1994-12-31);4005;2250;6255
2019-12-31;Sachsen-Anhalt;EC-12 third countries (until 1994-12-31);64960;45515;110475
2019-12-31;Sachsen-Anhalt;EC-10 (until 1985-12-31);3020;1755;4775
2019-12-31;Sachsen-Anhalt;EC-10 third countries (until 1985-12-31);65950;46010;111955
2019-12-31;Sachsen-Anhalt;EC-9 (until 1980-12-31);1975;1130;3100
2019-12-31;Sachsen-Anhalt;EC-9 third countries (until 1980-12-31);66990;46640;113630
2019-12-31;Sachsen-Anhalt;EEC-6 (until 1972-12-31);1645;965;2610
2019-12-31;Sachsen-Anhalt;EEC-6 third countries (until 1972-12-31);67320;46800;114120
2019-12-31;Sachsen-Anhalt;Africa;6850;2605;9460
2019-12-31;Sachsen-Anhalt;North Africa;1120;475;1595
2019-12-31;Sachsen-Anhalt;West Africa;3245;810;4055
2019-12-31;Sachsen-Anhalt;Central Africa;230;140;370
2019-12-31;Sachsen-Anhalt;East Africa;2095;1105;3200
2019-12-31;Sachsen-Anhalt;Southern Africa;160;75;240
2019-12-31;Sachsen-Anhalt;America;980;960;1940
2019-12-31;Sachsen-Anhalt;North America;350;265;615
2019-12-31;Sachsen-Anhalt;Central America and Caribbean;275;240;515
2019-12-31;Sachsen-Anhalt;South America;355;460;815
2019-12-31;Sachsen-Anhalt;Asia;28390;20475;48865
2019-12-31;Sachsen-Anhalt;South West Asia;17095;12005;29100
2019-12-31;Sachsen-Anhalt;South and South East Asia;5420;4205;9620
2019-12-31;Sachsen-Anhalt;East and Central Asia;5875;4265;10145
2019-12-31;Sachsen-Anhalt;Australia and Oceania;45;35;80
2019-12-31;Sachsen-Anhalt;Countries of origin of foreign workers;9210;5700;14910
2019-12-31;Sachsen-Anhalt;Territory of former Yugoslavia;3780;2660;6440
2019-12-31;Sachsen-Anhalt;Territory of former Serbia and Montenegro;1790;1375;3165
2019-12-31;Sachsen-Anhalt;Territory of the former Soviet Union;4820;6495;11315
2019-12-31;Sachsen-Anhalt;Territory of former Czechoslovakia;755;830;1585
2019-12-31;Sachsen-Anhalt;United Kingdom incl. British overseas territories;260;125;385
2019-12-31;Schleswig-Holstein;Total;141805;121555;263360
2019-12-31;Schleswig-Holstein;Europe;79745;73295;153040
2019-12-31;Schleswig-Holstein;EU-28 (since 2013-07-01);52775;44525;97305
2019-12-31;Schleswig-Holstein;EU-28 third countries (since 2013-07-01);89025;77030;166055
2019-12-31;Schleswig-Holstein;EU-27 (until 2013-06-30);50725;43010;93730
2019-12-31;Schleswig-Holstein;EU-27 third countries (until 2013-06-30);91080;78550;169630
2019-12-31;Schleswig-Holstein;EU-25 (until 2006-12-31);37065;33210;70275
2019-12-31;Schleswig-Holstein;EU-25 third countries (until 2006-12-31);104740;88350;193085
2019-12-31;Schleswig-Holstein;EU-15 (until 2004-04-30);18500;16505;35010
2019-12-31;Schleswig-Holstein;EU-15 third countries (until 2004-04-30);123300;105050;228350
2019-12-31;Schleswig-Holstein;EC-12 (until 1994-12-31);16275;13515;29790
2019-12-31;Schleswig-Holstein;EC-12 third countries (until 1994-12-31);125525;108040;233570
2019-12-31;Schleswig-Holstein;EC-10 (until 1985-12-31);13165;10825;23990
2019-12-31;Schleswig-Holstein;EC-10 third countries (until 1985-12-31);128640;110730;239370
2019-12-31;Schleswig-Holstein;EC-9 (until 1980-12-31);10395;8830;19230
2019-12-31;Schleswig-Holstein;EC-9 third countries (until 1980-12-31);131405;112725;244130
2019-12-31;Schleswig-Holstein;EEC-6 (until 1972-12-31);5785;4210;9995
2019-12-31;Schleswig-Holstein;EEC-6 third countries (until 1972-12-31);136020;117350;253365
2019-12-31;Schleswig-Holstein;Africa;7385;4915;12305
2019-12-31;Schleswig-Holstein;North Africa;1900;1085;2990
2019-12-31;Schleswig-Holstein;West Africa;1960;1545;3510
2019-12-31;Schleswig-Holstein;Central Africa;225;210;435
2019-12-31;Schleswig-Holstein;East Africa;3130;1860;4990
2019-12-31;Schleswig-Holstein;Southern Africa;170;215;385
2019-12-31;Schleswig-Holstein;America;2365;3435;5805
2019-12-31;Schleswig-Holstein;North America;1250;1310;2560
2019-12-31;Schleswig-Holstein;Central America and Caribbean;310;520;830
2019-12-31;Schleswig-Holstein;South America;805;1605;2410
2019-12-31;Schleswig-Holstein;Asia;50175;38345;88520
2019-12-31;Schleswig-Holstein;South West Asia;34435;24760;59195
2019-12-31;Schleswig-Holstein;South and South East Asia;3635;4965;8600
2019-12-31;Schleswig-Holstein;East and Central Asia;12105;8620;20725
2019-12-31;Schleswig-Holstein;Australia and Oceania;245;190;435
2019-12-31;Schleswig-Holstein;Countries of origin of foreign workers;33200;28030;61235
2019-12-31;Schleswig-Holstein;Territory of former Yugoslavia;8385;7275;15660
2019-12-31;Schleswig-Holstein;Territory of former Serbia and Montenegro;3425;3395;6820
2019-12-31;Schleswig-Holstein;Territory of the former Soviet Union;9835;13845;23680
2019-12-31;Schleswig-Holstein;Territory of former Czechoslovakia;610;770;1380
2019-12-31;Schleswig-Holstein;United Kingdom incl. British overseas territories;1185;755;1940
2019-12-31;Thüringen;Total;65590;49035;114625
2019-12-31;Thüringen;Europe;33520;26290;59810
2019-12-31;Thüringen;EU-28 (since 2013-07-01);25335;17770;43100
2019-12-31;Thüringen;EU-28 third countries (since 2013-07-01);40260;31270;71525
2019-12-31;Thüringen;EU-27 (until 2013-06-30);24735;17370;42105
2019-12-31;Thüringen;EU-27 third countries (until 2013-06-30);40855;31665;72520
2019-12-31;Thüringen;EU-25 (until 2006-12-31);16615;11835;28450
2019-12-31;Thüringen;EU-25 third countries (until 2006-12-31);48980;37200;86180
2019-12-31;Thüringen;EU-15 (until 2004-04-30);4420;2815;7230
2019-12-31;Thüringen;EU-15 third countries (until 2004-04-30);61175;46220;107395
2019-12-31;Thüringen;EC-12 (until 1994-12-31);3910;2425;6335
2019-12-31;Thüringen;EC-12 third countries (until 1994-12-31);61680;46610;108290
2019-12-31;Thüringen;EC-10 (until 1985-12-31);2960;1885;4845
2019-12-31;Thüringen;EC-10 third countries (until 1985-12-31);62630;47150;109780
2019-12-31;Thüringen;EC-9 (until 1980-12-31);2255;1435;3690
2019-12-31;Thüringen;EC-9 third countries (until 1980-12-31);63335;47605;110940
2019-12-31;Thüringen;EEC-6 (until 1972-12-31);1880;1205;3080
2019-12-31;Thüringen;EEC-6 third countries (until 1972-12-31);63715;47835;111545
2019-12-31;Thüringen;Africa;4565;2265;6830
2019-12-31;Thüringen;North Africa;1355;560;1915
2019-12-31;Thüringen;West Africa;810;440;1250
2019-12-31;Thüringen;Central Africa;175;110;285
2019-12-31;Thüringen;East Africa;2115;1105;3220
2019-12-31;Thüringen;Southern Africa;105;50;155
2019-12-31;Thüringen;America;1300;1335;2630
2019-12-31;Thüringen;North America;450;385;830
2019-12-31;Thüringen;Central America and Caribbean;315;335;650
2019-12-31;Thüringen;South America;535;615;1150
2019-12-31;Thüringen;Asia;25100;18435;43535
2019-12-31;Thüringen;South West Asia;14465;10300;24765
2019-12-31;Thüringen;South and South East Asia;3805;3320;7125
2019-12-31;Thüringen;East and Central Asia;6830;4820;11650
2019-12-31;Thüringen;Australia and Oceania;65;40;105
2019-12-31;Thüringen;Countries of origin of foreign workers;8350;5450;13800
2019-12-31;Thüringen;Territory of former Yugoslavia;3110;2450;5560
2019-12-31;Thüringen;Territory of former Serbia and Montenegro;1695;1415;3110
2019-12-31;Thüringen;Territory of the former Soviet Union;5565;7255;12815
2019-12-31;Thüringen;Territory of former Czechoslovakia;2100;1890;3990
2019-12-31;Thüringen;United Kingdom incl. British overseas territories;300;170;470
__________
© Federal Statistical Office, Wiesbaden 2020
created: 2020-11-24 / 20:11:10
