Total_Empleados; Agricultura-silvicultura-pesca; Fabricacion; Industria_manufacturera_(excluida_la_construccion); Fabricacion; Industria_de_construccion; Areas_de_servicio; Comercio-transporte-hosteleria-informacion-comunicacion; Finanzas-Seguros-Prestadores_de_servicios_corporativos-Inmobiliaria-Vivienda; Proveedores_de_servicios_publicos_y_de_otro_tipo-Educación-salud; anyo
1548,812; 1,261; 232,774; 149,209; 125,7; 83,565; 1314,777; 389,519; 316,537; 608,721; 2003
1557,215; 1,231; 224,98; 144,794; 121,983; 80,186; 1331,004; 395,461; 325,513; 610,03; 2004
