STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
        430;19630427;    5;   0.0;   0;   0;   0;eor
        430;19630428;    5;   0.0;   1;   0;   0;eor
        430;19630429;    5;  12.3;   1;   0;   0;eor
        430;19630430;    5;   0.1;   1;   0;   0;eor
        430;19630501;    5;   0.4;   1;   0;   0;eor
        430;19630502;    5;   2.4;   1;   0;   0;eor
        430;19630503;    5;   0.0;   0;   0;   0;eor
        430;19630504;    5;   4.5;   1;   0;   0;eor
        430;19630505;    5;   0.7;   1;   0;   0;eor
        430;19630506;    5;   0.0;   0;   0;   0;eor
        430;19630507;    5;   0.0;   0;   0;   0;eor
        430;19630508;    5;   0.0;   0;   0;   0;eor
        430;19630509;    5;   0.0;   1;   0;   0;eor
        430;19630510;    5;   0.0;   1;   0;   0;eor
        430;19630511;    5;   0.0;   0;   0;   0;eor
        430;19630512;    5;   0.0;   1;   0;   0;eor
        430;19630513;    5;   0.0;   0;   0;   0;eor
        430;19630514;    5;   0.0;   1;   0;   0;eor
        430;19630515;    5;   0.0;   1;   0;   0;eor
        430;19630516;    5;   0.0;   0;   0;   0;eor
        430;19630517;    5;   0.0;   1;   0;   0;eor
        430;19630518;    5;   0.3;   1;   0;   0;eor
        430;19630519;    5;   0.0;   1;   0;   0;eor
        430;19630520;    5;   0.0;   1;   0;   0;eor
        430;19630521;    5;   0.0;   0;   0;   0;eor
        430;19630522;    5;   0.0;   0;   0;   0;eor
        430;19630523;    5;   0.0;   0;   0;   0;eor
        430;19630524;    5;   1.8;   1;   0;   0;eor
        430;19630525;    5;   7.0;   1;   0;   0;eor
        430;19630526;    5;   4.3;   1;   0;   0;eor
        430;19630527;    5;   0.2;   1;   0;   0;eor
        430;19630528;    5;  28.4;   1;   0;   0;eor
        430;19630529;    5;   0.0;   0;   0;   0;eor
        430;19630530;    5;   0.0;   0;   0;   0;eor
        430;19630531;    5;   0.0;   0;   0;   0;eor
        430;19630601;    5;   0.0;   0;   0;   0;eor
        430;19630602;    5;   0.0;   0;   0;   0;eor
        430;19630603;    5;   0.0;   0;   0;   0;eor
        430;19630604;    5;   0.0;   0;   0;   0;eor
        430;19630605;    5;   0.0;   0;   0;   0;eor
        430;19630606;    5;   0.0;   0;   0;   0;eor
        430;19630607;    5;   0.0;   0;   0;   0;eor
        430;19630608;    5;   0.0;   0;   0;   0;eor
        430;19630609;    5;   0.0;   0;   0;   0;eor
        430;19630610;    5;   1.5;   1;   0;   0;eor
        430;19630611;    5;   0.0;   1;   0;   0;eor
        430;19630612;    5;   0.0;   0;   0;   0;eor
        430;19630613;    5;   0.0;   0;   0;   0;eor
        430;19630614;    5;   5.8;   1;   0;   0;eor
        430;19630615;    5;   0.0;   0;   0;   0;eor
        430;19630616;    5;   0.0;   1;   0;   0;eor
        430;19630617;    5;   0.0;   1;   0;   0;eor
        430;19630618;    5;   4.4;   1;   0;   0;eor
        430;19630619;    5;   2.1;   1;   0;   0;eor
        430;19630620;    5;   4.3;   1;   0;   0;eor
        430;19630621;    5;   0.2;   1;   0;   0;eor
        430;19630622;    5;   1.1;   1;   0;   0;eor
        430;19630623;    5;   0.0;   1;   0;   0;eor
        430;19630624;    5;   0.0;   0;   0;   0;eor
        430;19630625;    5;   0.0;   1;   0;   0;eor
        430;19630626;    5;   0.0;   1;   0;   0;eor
        430;19630627;    5;   0.0;   0;   0;   0;eor
        430;19630628;    5;  11.9;   1;   0;   0;eor
        430;19630629;    5;   0.0;   0;   0;   0;eor
        430;19630630;    5;   0.0;   0;   0;   0;eor
        430;19630701;    5;   0.0;   0;   0;   0;eor
        430;19630702;    5;   0.0;   0;   0;   0;eor
        430;19630703;    5;   0.0;   0;   0;   0;eor
        430;19630704;    5;   0.0;   0;   0;   0;eor
        430;19630705;    5;   7.9;   1;   0;   0;eor
        430;19630706;    5;   0.0;   0;   0;   0;eor
        430;19630707;    5;   2.0;   1;   0;   0;eor
        430;19630708;    5;   0.0;   1;   0;   0;eor
        430;19630709;    5;   0.0;   1;   0;   0;eor
        430;19630710;    5;   0.0;   0;   0;   0;eor
        430;19630711;    5;   0.0;   0;   0;   0;eor
        430;19630712;    5;   0.0;   1;   0;   0;eor
        430;19630713;    5;   3.0;   1;   0;   0;eor
        430;19630714;    5;   0.0;   1;   0;   0;eor
        430;19630715;    5;   0.0;   0;   0;   0;eor
        430;19630716;    5;   5.4;   1;   0;   0;eor
        430;19630717;    5;   0.0;   1;   0;   0;eor
        430;19630718;    5;   0.0;   1;   0;   0;eor
        430;19630719;    5;   3.7;   1;   0;   0;eor
        430;19630720;    5;   0.0;   0;   0;   0;eor
        430;19630721;    5;   0.0;   0;   0;   0;eor
        430;19630722;    5;   0.0;   0;   0;   0;eor
        430;19630723;    5;   0.0;   0;   0;   0;eor
        430;19630724;    5;   0.0;   0;   0;   0;eor
        430;19630725;    5;  14.5;   1;   0;   0;eor
        430;19630726;    5;   1.0;   1;   0;   0;eor
        430;19630727;    5;   0.0;   0;   0;   0;eor
        430;19630728;    5;   0.0;   0;   0;   0;eor
        430;19630729;    5;   0.0;   0;   0;   0;eor
        430;19630730;    5;   0.0;   0;   0;   0;eor
        430;19630731;    5;   0.4;   1;   0;   0;eor
        430;19630801;    5;   0.0;   0;   0;   0;eor
        430;19630802;    5;   0.0;   0;   0;   0;eor
        430;19630803;    5;   0.0;   0;   0;   0;eor
        430;19630804;    5;   0.8;   1;   0;   0;eor
        430;19630805;    5;   0.0;   0;   0;   0;eor
        430;19630806;    5;   0.0;   0;   0;   0;eor
        430;19630807;    5;   1.2;   1;   0;   0;eor
        430;19630808;    5;   1.3;   1;   0;   0;eor
        430;19630809;    5;   7.0;   1;   0;   0;eor
        430;19630810;    5;   2.0;   1;   0;   0;eor
        430;19630811;    5;   1.9;   1;   0;   0;eor
        430;19630812;    5;   0.0;   0;   0;   0;eor
        430;19630813;    5;   0.0;   1;   0;   0;eor
        430;19630814;    5;   0.0;   0;   0;   0;eor
        430;19630815;    5;  12.5;   1;   0;   0;eor
        430;19630816;    5;   0.0;   0;   0;   0;eor
        430;19630817;    5;   0.3;   1;   0;   0;eor
        430;19630818;    5;   4.5;   1;   0;   0;eor
        430;19630819;    5;  13.9;   1;   0;   0;eor
        430;19630820;    5;   1.6;   1;   0;   0;eor
        430;19630821;    5;   0.3;   1;   0;   0;eor
        430;19630822;    5;   0.2;   1;   0;   0;eor
        430;19630823;    5;   0.4;   1;   0;   0;eor
        430;19630824;    5;   7.0;   1;   0;   0;eor
        430;19630825;    5;   2.6;   1;   0;   0;eor
        430;19630826;    5;   1.7;   1;   0;   0;eor
        430;19630827;    5;   3.8;   1;   0;   0;eor
        430;19630828;    5;   5.3;   1;   0;   0;eor
        430;19630829;    5;   4.1;   1;   0;   0;eor
        430;19630830;    5;   0.1;   1;   0;   0;eor
        430;19630831;    5;   0.0;   1;   0;   0;eor
        430;19630901;    5;   0.0;   1;   0;   0;eor
        430;19630902;    5;   0.0;   1;   0;   0;eor
        430;19630903;    5;   0.0;   0;   0;   0;eor
        430;19630904;    5;   0.0;   0;   0;   0;eor
        430;19630905;    5;   0.9;   1;   0;   0;eor
        430;19630906;    5;   0.0;   0;   0;   0;eor
        430;19630907;    5;   0.0;   0;   0;   0;eor
        430;19630908;    5;   0.0;   0;   0;   0;eor
        430;19630909;    5;   0.0;   0;   0;   0;eor
        430;19630910;    5;   0.0;   0;   0;   0;eor
        430;19630911;    5;   0.0;   0;   0;   0;eor
        430;19630912;    5;   0.0;   0;   0;   0;eor
        430;19630913;    5;   0.0;   0;   0;   0;eor
        430;19630914;    5;   0.0;   0;   0;   0;eor
        430;19630915;    5;   0.0;   0;   0;   0;eor
        430;19630916;    5;   0.0;   0;   0;   0;eor
        430;19630917;    5;   0.0;   0;   0;   0;eor
        430;19630918;    5;   0.0;   0;   0;   0;eor
        430;19630919;    5;   0.0;   0;   0;   0;eor
        430;19630920;    5;   0.0;   0;   0;   0;eor
        430;19630921;    5;   0.0;   1;   0;   0;eor
        430;19630922;    5;   0.1;   1;   0;   0;eor
        430;19630923;    5;   0.0;   1;   0;   0;eor
        430;19630924;    5;  25.6;   1;   0;   0;eor
        430;19630925;    5;   5.8;   1;   0;   0;eor
        430;19630926;    5;   3.4;   1;   0;   0;eor
        430;19630927;    5;   4.5;   1;   0;   0;eor
        430;19630928;    5;   0.8;   1;   0;   0;eor
        430;19630929;    5;  10.1;   1;   0;   0;eor
        430;19630930;    5;   1.1;   1;   0;   0;eor
        430;19631001;    5;   0.5;   1;   0;   0;eor
        430;19631002;    5;   0.9;   1;   0;   0;eor
        430;19631003;    5;   0.0;   1;   0;   0;eor
        430;19631004;    5;   1.8;   1;   0;   0;eor
        430;19631005;    5;   3.8;   1;   0;   0;eor
        430;19631006;    5;   7.2;   1;   0;   0;eor
        430;19631007;    5;   0.0;   0;   0;   0;eor
        430;19631008;    5;   0.0;   1;   0;   0;eor
        430;19631009;    5;   1.1;   1;   0;   0;eor
        430;19631010;    5;   0.5;   1;   0;   0;eor
        430;19631011;    5;   0.0;   0;   0;   0;eor
        430;19631012;    5;   0.0;   0;   0;   0;eor
        430;19631013;    5;   1.2;   1;   0;   0;eor
        430;19631014;    5;   0.8;   1;   0;   0;eor
        430;19631015;    5;   0.0;   0;   0;   0;eor
        430;19631016;    5;   0.0;   0;   0;   0;eor
        430;19631017;    5;   0.0;   1;   0;   0;eor
        430;19631018;    5;   0.0;   0;   0;   0;eor
        430;19631019;    5;   0.0;   0;   0;   0;eor
        430;19631020;    5;   0.1;   1;   0;   0;eor
        430;19631021;    5;   0.0;   0;   0;   0;eor
        430;19631022;    5;   0.2;   1;   0;   0;eor
        430;19631023;    5;   0.0;   0;   0;   0;eor
        430;19631024;    5;   0.0;   0;   0;   0;eor
        430;19631025;    5;   0.0;   0;   0;   0;eor
        430;19631026;    5;   0.0;   0;   0;   0;eor
        430;19631027;    5;   0.0;   0;   0;   0;eor
        430;19631028;    5;   0.0;   0;   0;   0;eor
        430;19631029;    5;   0.0;   0;   0;   0;eor
        430;19631030;    5;   0.0;   0;   0;   0;eor
        430;19631031;    5;   0.0;   0;   0;   0;eor
        430;19631101;    5;   0.4;   1;   0;   0;eor
        430;19631102;    5;   0.0;   0;   0;   0;eor
        430;19631103;    5;   1.6;   1;   0;   0;eor
        430;19631104;    5;   0.0;   0;   0;   0;eor
        430;19631105;    5;   0.0;   1;   0;   0;eor
        430;19631106;    5;   0.7;   1;   0;   0;eor
        430;19631107;    5;   0.6;   1;   0;   0;eor
        430;19631108;    5;   2.1;   1;   0;   0;eor
        430;19631109;    5;   0.0;   0;   0;   0;eor
        430;19631110;    5;  10.2;   1;   0;   0;eor
        430;19631111;    5;  16.7;   1;   0;   0;eor
        430;19631112;    5;   0.1;   1;   0;   0;eor
        430;19631113;    5;   0.9;   1;   0;   0;eor
        430;19631114;    5;   0.1;   1;   0;   0;eor
        430;19631115;    5;   7.5;   1;   0;   0;eor
        430;19631116;    5;   1.4;   1;   0;   0;eor
        430;19631117;    5;   3.8;   1;   0;   0;eor
        430;19631118;    5;   4.0;   1;   0;   0;eor
        430;19631119;    5;  14.0;   1;   0;   0;eor
        430;19631120;    5;   3.3;   1;   0;   0;eor
