GENESIS-Tabelle: 46251-0006
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz;Krafträder;Leichtkrafträder;Motorräder;Pkw;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse;Lkw;Lkw mit Spezialaufbau;Zugmaschinen;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2019;03255;Holzminden, Landkreis;54296;4244;-;4061;44428;30657;13014;78;2422;129;2731;-;184;2547;393;518;9651;5940;349
01.01.2019;03256;Nienburg (Weser), Landkreis;97575;7348;-;7013;76103;48566;25677;260;5342;146;7756;-;959;6797;766;980;22392;14775;1416
01.01.2019;03257;Schaumburg, Landkreis;118484;9165;-;8901;99558;68606;28931;157;4966;231;3967;-;452;3515;671;1114;20015;12840;547
01.01.2019;03351;Celle, Landkreis;131553;10679;-;10279;107931;69656;36470;145;6965;161;4950;-;371;4579;883;1490;25057;15721;565
01.01.2019;03352;Cuxhaven, Landkreis;154615;12081;-;11573;123874;78598;42547;161;7580;219;9946;-;435;9511;973;1845;30305;19236;561
01.01.2019;03353;Harburg, Landkreis;197854;16103;-;15625;163252;103791;56088;91;9909;263;7559;-;1071;6488;940;3212;34245;19322;3776
01.01.2019;03354;Lüchow-Dannenberg, Landkreis;40464;3442;-;3252;30329;18226;11220;124;2242;54;3996;-;175;3821;331;606;10706;7166;338
01.01.2019;03355;Lüneburg, Landkreis;124209;9516;-;9241;103117;65598;35704;226;6312;125;4240;-;482;3758;798;1902;20933;12579;793
01.01.2019;03356;Osterholz, Landkreis;86218;6494;-;6301;71278;47447;22361;129;3873;93;3923;-;139;3784;521;1060;15106;8824;172
01.01.2019;03357;Rotenburg (Wümme), Landkreis;143830;10383;-;9949;110373;63690;44646;135;10072;520;11747;-;1773;9974;1120;1546;33467;20513;3526
01.01.2019;03358;Heidekreis;108634;8713;-;8344;86598;53526;31511;185;6064;215;6329;-;428;5901;745;1259;21584;13962;605
01.01.2019;03359;Stade, Landkreis;151857;10603;-;10230;122872;79381;41379;281;7777;189;9468;-;884;8584;856;2161;28354;16992;1225
01.01.2019;03360;Uelzen, Landkreis;69858;5717;-;5506;55926;36615;18454;62;3540;87;4077;-;278;3799;536;768;14756;9839;504
01.01.2019;03361;Verden, Landkreis;104189;7670;-;7393;85458;55442;28567;76;5389;132;5058;-;723;4335;538;1142;19610;11602;938
