GENESIS-Tabelle: 46251-0006
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz;Krafträder;Leichtkrafträder;Motorräder;Pkw;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse;Lkw;Lkw mit Spezialaufbau;Zugmaschinen;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2019;06635;Waldeck-Frankenberg, Landkreis;132008;11347;-;10765;103081;66731;34530;221;5987;205;10694;-;402;10292;678;1025;21001;12877;756
01.01.2019;06636;Werra-Meißner-Kreis;78889;7037;-;6472;62062;40690;20347;107;3362;105;5866;-;199;5667;455;793;12409;8031;353
01.01.2019;07111;Koblenz, kreisfreie Stadt;72869;4609;-;4452;62171;39482;21710;256;4608;129;846;-;261;585;379;600;5894;3036;266
01.01.2019;07131;Ahrweiler, Landkreis;104385;8681;-;8251;84068;55775;26640;134;5359;145;5682;-;379;5303;461;924;14100;8673;512
01.01.2019;07132;Altenkirchen (Westerwald), Landkreis;102097;9010;-;8604;82518;55296;25858;379;4771;111;4972;-;299;4673;447;909;14960;9267;572
01.01.2019;07133;Bad Kreuznach, Landkreis;122481;9542;-;9061;98410;65749;31028;132;6725;204;6981;-;498;6483;691;1007;17993;11503;828
01.01.2019;07134;Birkenfeld, Landkreis;62818;4766;-;4432;51648;35178;15771;122;2875;65;3087;-;116;2971;320;487;11266;7235;275
01.01.2019;07135;Cochem-Zell, Landkreis;53902;4663;-;4318;40774;24222;15938;77;2578;29;5502;-;105;5397;308;383;9469;6181;157
01.01.2019;07137;Mayen-Koblenz, Landkreis;165238;13091;-;12458;136646;91265;43361;151;8450;251;6235;-;731;5504;665;1271;22774;13964;1008
01.01.2019;07138;Neuwied, Landkreis;142465;11369;-;10890;117620;77028;38242;146;7357;208;5345;-;676;4669;628;1289;19098;11565;1058
01.01.2019;07140;Rhein-Hunsrück-Kreis;88323;7041;-;6580;69014;40797;27164;290;4682;167;6820;-;407;6413;476;710;16337;10253;751
01.01.2019;07141;Rhein-Lahn-Kreis;97399;8580;-;8109;79090;53282;24485;115;4376;89;4749;-;113;4636;489;956;13583;8310;198
01.01.2019;07143;Westerwaldkreis;165861;13528;-;12872;134207;85404;46775;243;8652;197;8393;-;850;7543;838;1429;25324;15118;1309
01.01.2019;07211;Trier, kreisfreie Stadt;185859;16194;-;15453;149641;91974;55930;291;8855;270;10073;-;439;9634;805;1351;23157;14073;672
01.01.2019;07231;Bernkastel-Wittlich, Landkreis;95924;7327;-;6845;73624;44268;28523;192;4978;165;9243;-;385;8858;560;676;16281;10028;614
01.01.2019;07232;Eifelkreis Bitburg-Prüm;87829;7325;-;6737;64925;34989;29104;252;4621;185;10079;-;294;9785;627;563;15732;10512;515
01.01.2019;07233;Vulkaneifel, Landkreis;54357;4802;-;4405;40506;23629;16321;132;2939;59;5643;-;259;5384;335;432;10209;6691;364
01.01.2019;07235;Trier-Saarburg, Landkreis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2019;07311;Frankenthal (Pfalz), kreisfreie Stadt;30837;2050;-;1992;26661;18250;7900;36;1410;27;555;-;227;328;125;183;2451;1286;273
01.01.2019;07312;Kaiserslautern, kreisfreie Stadt;56110;3552;-;3436;48939;33957;13973;131;2765;47;439;-;48;391;284;345;4564;2608;58
01.01.2019;07313;Landau in der Pfalz, kreisfreie Stadt;32267;2320;-;2278;27240;18669;8095;-;1626;39;899;-;59;840;182;321;3110;1779;154
01.01.2019;07314;Ludwigshafen am Rhein, kreisfreie Stadt;95023;6416;-;6186;82216;56629;24016;282;4801;81;780;-;332;448;528;522;5872;3327;502
01.01.2019;07315;Mainz, kreisfreie Stadt;115012;7309;-;7085;99401;65795;31767;1005;5442;87;1060;-;197;863;795;801;6310;3033;419
01.01.2019;07316;Neustadt an der Weinstraße, kreisfreie Stadt;38759;2805;-;2722;32476;22067;9961;7;2146;48;1147;-;91;1056;178;359;3709;2235;86
01.01.2019;07317;Pirmasens, kreisfreie Stadt;26521;1696;-;1626;22746;15895;6490;23;1488;29;394;-;72;322;174;154;3021;1860;115
01.01.2019;07318;Speyer, kreisfreie Stadt;33983;2592;-;2518;29060;19638;8907;192;1684;50;304;-;106;198;151;312;3127;1649;157
01.01.2019;07319;Worms, kreisfreie Stadt;53802;3897;-;3746;45369;31443;13005;21;2974;103;1315;-;301;1014;226;399;5688;3143;763
01.01.2019;07320;Zweibrücken, kreisfreie Stadt;24678;1891;-;1817;20836;14188;6278;29;1193;23;499;-;90;409;230;205;3265;2027;131
01.01.2019;07331;Alzey-Worms, Landkreis;105613;9124;-;8798;83849;54328;28250;16;4772;91;7388;-;257;7131;464;951;13783;8248;329
01.01.2019;07332;Bad Dürkheim, Landkreis;108077;8956;-;8682;89475;60498;27539;109;4560;119;4556;-;390;4166;421;1057;12712;7636;583
01.01.2019;07333;Donnersbergkreis;61167;5266;-;4965;49251;31504;16966;100;2510;59;3741;-;166;3575;299;503;10003;6515;229
01.01.2019;07334;Germersheim, Landkreis;99551;8290;-;8079;81861;53655;26900;80;4486;170;4379;-;671;3708;455;844;14570;9191;1432
01.01.2019;07335;Kaiserslautern, Landkreis;82062;6891;-;6602;67699;45934;20696;190;4018;142;2911;-;147;2764;353;630;14026;9289;238
01.01.2019;07336;Kusel, Landkreis;57760;4884;-;4569;47074;31764;14661;21;2078;42;3457;-;32;3425;246;557;11052;7540;67
01.01.2019;07337;Südliche Weinstraße, Landkreis;96901;8272;-;7972;75715;50573;24053;219;4544;88;7635;-;238;7397;516;996;12845;8072;362
01.01.2019;07338;Rhein-Pfalz-Kreis;120539;10641;-;10337;100711;71033;28053;54;5242;164;3474;-;641;2833;417;1054;13293;7915;1075
01.01.2019;07339;Mainz-Bingen, Landkreis;168153;13889;-;13425;138962;89695;46838;65;6983;132;7637;-;446;7191;617;1480;18248;10558;691
01.01.2019;07340;Südwestpfalz, Landkreis;82000;7576;-;7252;66443;44162;21326;175;3283;51;4287;-;128;4159;236;777;13595;9011;243
01.01.2019;08111;Stuttgart, kreisfreie Stadt;347839;24664;-;24000;301793;196371;96958;412;16417;380;3035;-;959;2076;1518;2756;18500;9278;1101
01.01.2019;08115;Böblingen, Landkreis;295936;23804;-;23259;253000;164557;82438;313;10621;311;7357;-;401;6956;841;3011;28150;16926;602
01.01.2019;08116;Esslingen, Landkreis;395241;34988;-;34083;329698;219852;104219;358;17850;553;11009;-;1172;9837;1338;3941;42298;25934;1643
01.01.2019;08117;Göppingen, Landkreis;199305;17279;-;16820;163772;106944;54041;185;9274;222;8145;-;565;7580;650;2045;24172;14569;882
01.01.2019;08118;Ludwigsburg, Landkreis;392994;32604;-;31851;329497;226185;97531;200;18099;499;11324;-;1168;10156;1270;3390;38831;23283;1705
01.01.2019;08119;Rems-Murr-Kreis;319760;27864;-;27136;262043;178573;79105;370;15544;415;12909;-;729;12180;1030;2967;37932;23771;961
01.01.2019;08121;Heilbronn, kreisfreie Stadt;77759;4468;-;4338;66712;43752;21795;122;4324;148;1787;-;780;1007;346;434;6524;3877;852
01.01.2019;08125;Heilbronn, Landkreis;294166;23731;-;23018;241465;149133;87694;241;12557;354;15177;-;1216;13961;995;2425;38476;24927;1830
01.01.2019;08126;Hohenlohekreis;105293;8928;-;8606;81994;44286;36450;113;4232;142;9544;-;467;9077;482;708;15123;10282;821
01.01.2019;08127;Schwäbisch Hall, Landkreis;165654;14233;-;13765;126915;75288;49421;370;7893;363;15544;-;560;14984;699;1445;27205;18426;836
01.01.2019;08128;Main-Tauber-Kreis;115476;10022;-;9585;88162;53236;33210;106;4927;157;11784;-;160;11624;475;828;16862;11794;256
01.01.2019;08135;Heidenheim, Landkreis;100423;8645;-;8405;82491;53229;28030;107;3867;149;4869;-;326;4543;444;1033;14534;8919;518
01.01.2019;08136;Ostalbkreis;252610;22281;-;21627;202810;126574;72847;313;10527;413;15719;-;852;14867;960;2580;36420;23412;1459
01.01.2019;08211;Baden-Baden, kreisfreie Stadt;41085;3011;-;2934;34474;21893;12004;65;2310;28;999;-;140;859;226;331;3838;2488;278
01.01.2019;08212;Karlsruhe, kreisfreie Stadt;165121;12143;-;11859;140712;90320;47528;610;9132;313;1488;-;498;990;1036;1790;13404;7428;590
01.01.2019;08215;Karlsruhe, Landkreis;332074;27968;-;27108;276059;184610;86928;186;15154;377;11466;-;1033;10433;1241;3056;47439;30932;1702
01.01.2019;08216;Rastatt, Landkreis;181894;16089;-;15635;149919;99629;48135;109;7908;237;7225;-;800;6425;644;1721;28004;18856;1352
01.01.2019;08221;Heidelberg, kreisfreie Stadt;69544;4665;-;4568;60415;38871;20444;72;3347;47;691;-;54;637;354;753;4216;2277;89
01.01.2019;08222;Mannheim, kreisfreie Stadt;176482;11347;-;10947;151038;99394;48971;204;11503;314;1284;-;600;684;1106;1194;11506;5799;915
01.01.2019;08225;Neckar-Odenwald-Kreis;116566;9709;-;9185;92803;58354;33130;95;5052;225;8369;-;252;8117;538;953;20360;13820;370
01.01.2019;08226;Rhein-Neckar-Kreis;409964;31577;-;30700;349018;230404;112205;203;17700;341;9972;-;915;9057;1494;3605;39653;24246;1526
01.01.2019;08231;Pforzheim, kreisfreie Stadt;69792;4343;-;4211;61278;40881;19378;52;3252;89;574;-;56;518;293;492;5433;3025;203
01.01.2019;08235;Calw, Landkreis;127811;10726;-;10383;103052;64474;36942;281;5991;187;7123;-;458;6665;638;1284;20139;12807;694
01.01.2019;08236;Enzkreis;158830;14861;-;14473;130447;88358;40043;137;6567;173;6383;-;646;5737;435;1669;24382;15768;1119
01.01.2019;08237;Freudenstadt, Landkreis;95622;8449;-;8171;75730;45457;29163;143;4254;150;6571;-;260;6311;475;884;15431;10500;481
01.01.2019;08311;Freiburg im Breisgau, kreisfreie Stadt;109310;8300;-;8129;92378;57133;33315;377;6379;152;1394;-;95;1299;482;2255;7955;3982;142
01.01.2019;08315;Breisgau-Hochschwarzwald, Landkreis;198854;16577;-;16049;156737;100672;53393;481;10343;254;13539;-;572;12967;1177;2888;27458;17042;1191
01.01.2019;08316;Emmendingen, Landkreis;126266;11128;-;10776;99576;65971;32060;106;6373;167;8489;-;309;8180;594;1598;17676;11621;530
01.01.2019;08317;Ortenaukreis;336779;28733;-;27820;268191;174202;90647;216;17300;603;20880;-;1699;19181;1459;3270;52283;34163;2870
01.01.2019;08325;Rottweil, Landkreis;117270;10564;-;10194;92429;57177;34074;92;5115;184;8479;-;444;8035;591;1247;19476;12806;653
01.01.2019;08326;Schwarzwald-Baar-Kreis;159220;13583;-;13221;129846;83664;44203;157;7483;192;7524;-;328;7196;627;1666;20258;12349;541
01.01.2019;08327;Tuttlingen, Landkreis;108081;9522;-;9192;87166;53890;32090;86;4421;104;6457;-;304;6153;429;1113;16843;10610;525
01.01.2019;08335;Konstanz, Landkreis;195788;20004;-;19469;158401;109292;46040;183;8692;273;7728;-;333;7395;780;2783;24961;13443;724
01.01.2019;08336;Lörrach, Landkreis;166960;15124;-;14678;135442;92538;40727;92;7619;232;8003;-;158;7845;680;1974;19250;11861;342
01.01.2019;08337;Waldshut, Landkreis;134699;11670;-;11289;105930;70591;33874;121;6265;216;10060;-;375;9685;653;1359;19662;12031;667
01.01.2019;08415;Reutlingen, Landkreis;219803;18813;-;18356;177579;114666;59940;263;10101;341;12181;-;487;11694;866;2367;32621;21781;836
01.01.2019;08416;Tübingen, Landkreis;150034;13094;-;12799;123899;78214;43214;215;5730;165;6622;-;182;6440;474;1851;20730;13673;283
01.01.2019;08417;Zollernalbkreis;158280;13139;-;12694;126329;81337;43092;126;7344;242;10552;-;486;10066;790;1461;25698;16745;801
01.01.2019;08421;Ulm, kreisfreie Stadt;78338;5708;-;5580;66213;39967;25112;306;4166;166;1507;-;452;1055;438;799;7424;3879;757
01.01.2019;08425;Alb-Donau-Kreis;162500;15032;-;14462;125548;78257;45692;261;6984;177;13882;-;598;13284;793;1549;27500;17523;853
01.01.2019;08426;Biberach, Landkreis;167976;15257;-;14698;128578;77868;49013;169;8090;240;15030;-;874;14156;852;1578;30481;19397;1322
01.01.2019;08435;Bodenseekreis;173627;19971;-;19485;135966;88249;45315;164;7301;154;9554;-;236;9318;671;2391;20490;11413;406
01.01.2019;08436;Ravensburg, Landkreis;229325;22887;-;22148;176494;108250;65826;256;11554;458;17127;-;886;16241;1007;3047;35651;21666;1385
01.01.2019;08437;Sigmaringen, Landkreis;110791;10408;-;10075;84661;51285;31888;140;4917;141;10083;-;362;9721;582;1074;20528;13444;655
01.01.2019;09161;Ingolstadt, kreisfreie Stadt;111775;8346;-;8139;97955;59373;34035;257;3255;59;1488;-;143;1345;474;824;8596;5095;192
01.01.2019;09162;München, kreisfreie Stadt;838726;63277;-;61924;725690;437002;270546;1531;38210;535;4681;-;815;3866;5337;9258;41625;19398;953
01.01.2019;09163;Rosenheim, kreisfreie Stadt;41211;3486;-;3388;34480;21508;12440;38;2292;65;629;-;54;575;286;528;3710;1749;85
01.01.2019;09171;Altötting, Landkreis;88929;8892;-;8557;69628;44179;24365;138;3957;144;5777;-;237;5540;537;992;13962;8562;478
01.01.2019;09172;Berchtesgadener Land, Landkreis;80908;8020;-;7790;64182;41200;22186;110;3435;91;4729;-;132;4597;432;1145;9999;6088;352
01.01.2019;09173;Bad Tölz-Wolfratshausen, Landkreis;101648;10067;-;9755;78997;47548;30128;38;5405;128;6600;-;108;6492;541;1625;13270;7880;200
01.01.2019;09174;Dachau, Landkreis;115737;12361;-;11968;91127;58574;31036;153;5728;110;5828;-;330;5498;540;1370;15057;9260;612
01.01.2019;09175;Ebersberg, Landkreis;104012;9761;-;9483;83357;51726;30171;147;4700;176;5625;-;401;5224;422;1289;11300;6612;506
01.01.2019;09176;Eichstätt, Landkreis;109728;12492;-;11918;82495;50166;31140;115;4091;184;10024;-;374;9650;511;1049;19136;12424;544
01.01.2019;09177;Erding, Landkreis;114734;11017;-;10537;87593;52880;33008;175;5522;345;9732;-;302;9430;695;1024;15760;9970;538
01.01.2019;09178;Freising, Landkreis;137215;13332;-;12840;107160;63064;42108;201;7025;206;8762;-;519;8243;735;1386;16889;10507;1031
01.01.2019;09179;Fürstenfeldbruck, Landkreis;148330;14350;-;13969;121748;79966;39762;135;7198;104;4321;-;99;4222;578;2148;16630;9547;197
01.01.2019;09180;Garmisch-Partenkirchen, Landkreis;67088;7315;-;7117;51469;32848;17817;48;3467;85;4475;-;45;4430;314;1392;8601;5160;227
01.01.2019;09181;Landsberg am Lech, Landkreis;103693;11255;-;10877;80133;48028;30468;128;4232;103;7498;-;152;7346;447;1645;16062;9634;322
01.01.2019;09182;Miesbach, Landkreis;82852;8207;-;7951;64916;39329;24618;66;4365;138;4887;-;173;4714;411;1104;10494;6051;236
01.01.2019;09183;Mühldorf am Inn, Landkreis;96235;9204;-;8659;72834;45224;26379;123;4637;186;8867;-;256;8611;570;957;16020;10253;452
01.01.2019;09184;München, Landkreis;291820;22000;-;21552;245522;146756;92996;385;17391;408;4777;-;587;4190;1745;3118;21276;10723;1072
01.01.2019;09185;Neuburg-Schrobenhausen, Landkreis;85361;8838;-;8412;64035;38989;24071;109;4140;127;7798;-;381;7417;441;714;15862;10359;743
01.01.2019;09186;Pfaffenhofen an der Ilm, Landkreis;109181;12036;-;11572;82140;48271;32487;55;5362;195;9138;-;631;8507;450;959;17899;11167;870
01.01.2019;09187;Rosenheim, Landkreis;217541;21110;-;20415;168325;104643;61168;230;11336;314;15573;-;968;14605;967;3137;31548;18076;1589
01.01.2019;09188;Starnberg, Landkreis;104527;10020;-;9779;86177;53552;30989;82;4457;79;3295;-;132;3163;496;1501;12436;6341;203
01.01.2019;09189;Traunstein, Landkreis;149560;14216;-;13734;114157;71432;41040;183;6815;271;13322;-;547;12775;867;2140;23289;13798;909
01.01.2019;09190;Weilheim-Schongau, Landkreis;113877;11604;-;11186;86550;54014;31108;89;5101;171;10056;-;156;9900;477;2213;17186;10379;241
01.01.2019;09261;Landshut, kreisfreie Stadt;43337;3706;-;3624;36926;22914;13317;76;1774;77;691;-;39;652;164;430;3850;2186;54
01.01.2019;09262;Passau, kreisfreie Stadt;34443;3052;-;2975;27959;17552;9951;77;2301;96;812;-;108;704;242;314;4339;2330;211
01.01.2019;09263;Straubing, kreisfreie Stadt;32049;2234;-;2114;27026;17234;9445;44;1888;83;661;-;79;582;196;211;3456;1908;116
01.01.2019;09271;Deggendorf, Landkreis;102509;9935;-;9270;76737;45994;29711;177;5331;237;9736;-;367;9369;593;652;17393;11118;804
01.01.2019;09272;Freyung-Grafenau, Landkreis;74941;8691;-;7971;51759;30792;20477;155;3090;120;10836;-;177;10659;410;522;12321;7998;319
01.01.2019;09273;Kelheim, Landkreis;104189;10466;-;9931;78799;45783;31781;206;4839;147;9368;-;414;8954;511;695;16633;10651;771
01.01.2019;09274;Landshut, Landkreis;141943;14001;-;13245;106058;60979;43220;197;7208;246;13763;-;453;13310;716;1206;24514;16328;771
01.01.2019;09275;Passau, Landkreis;170404;17854;-;16743;125328;80336;43647;342;7681;290;18370;-;605;17765;829;1131;30892;20234;1012
01.01.2019;09276;Regen, Landkreis;68641;7075;-;6467;49084;29531;18935;85;3087;117;8954;-;70;8884;356;397;11688;7792;184
01.01.2019;09277;Rottal-Inn, Landkreis;115209;11343;-;10467;81199;49484;30627;217;6200;231;15504;-;352;15152;746;866;21810;14838;698
01.01.2019;09278;Straubing-Bogen, Landkreis;94029;9017;-;8256;67340;40608;25823;114;4145;157;12944;-;332;12612;469;578;17638;12060;529
01.01.2019;09279;Dingolfing-Landau, Landkreis;89344;8363;-;7880;67358;38570;27844;142;3660;151;9390;-;634;8756;431;710;16797;11656;974
01.01.2019;09361;Amberg, kreisfreie Stadt;29029;2162;-;2096;24754;16096;8205;48;1340;44;600;-;95;505;125;258;2940;1772;158
01.01.2019;09362;Regensburg, kreisfreie Stadt;109178;7023;-;6849;89167;53519;33936;351;10750;149;1314;-;510;804;573;751;7413;3589;797
01.01.2019;09363;Weiden in der Oberpfalz, kreisfreie Stadt;31139;2458;-;2354;25983;16684;8961;51;1829;91;663;-;113;550;155;235;3524;2059;101
01.01.2019;09371;Amberg-Sulzbach, Landkreis;92700;9203;-;8674;69114;43323;24879;210;3636;114;10114;-;226;9888;423;731;15185;10260;433
01.01.2019;09372;Cham, Landkreis;125066;13490;-;12465;86814;53573;32090;156;6476;372;17368;-;350;17018;762;526;22454;15662;557
01.01.2019;09373;Neumarkt in der Oberpfalz, Landkreis;118876;12366;-;11707;87110;52796;33089;192;6301;135;12293;-;561;11732;614;904;18674;12096;904
01.01.2019;09374;Neustadt an der Waldnaab, Landkreis;87491;9145;-;8462;63970;40271;22925;77;3204;174;10611;-;362;10249;484;527;15071;10295;582
01.01.2019;09375;Regensburg, Landkreis;162188;17467;-;16643;124190;76608;45360;222;7298;315;12270;-;810;11460;741;1345;25176;16195;1189
01.01.2019;09376;Schwandorf, Landkreis;133376;14935;-;14115;98301;58784;37966;140;5496;198;13734;-;968;12766;770;749;24150;16738;1338
01.01.2019;09377;Tirschenreuth, Landkreis;66540;6906;-;6433;48286;31541;16304;82;2810;111;8032;-;318;7714;424;312;11546;8106;444
01.01.2019;09461;Bamberg, kreisfreie Stadt;49496;4330;-;4237;40355;25237;14304;86;2999;64;1128;-;653;475;598;509;4616;2405;880
01.01.2019;09462;Bayreuth, kreisfreie Stadt;46576;3301;-;3165;39186;25221;13356;68;2933;78;741;-;155;586;347;362;3814;2196;184
01.01.2019;09463;Coburg, kreisfreie Stadt;29291;2425;-;2362;24868;16088;8374;54;1438;30;337;-;33;304;169;199;2412;1388;74
01.01.2019;09464;Hof, kreisfreie Stadt;29745;2169;-;2100;25025;17691;7003;57;1579;54;700;-;207;493;215;197;3165;1685;363
01.01.2019;09471;Bamberg, Landkreis;130844;13403;-;12872;99565;63100;35200;177;5794;438;11420;-;354;11066;485;1094;19257;12421;522
01.01.2019;09472;Bayreuth, Landkreis;96569;9829;-;9150;70405;45513;24031;222;3739;189;11688;-;219;11469;686;693;13862;9586;319
01.01.2019;09473;Coburg, Landkreis;73404;6947;-;6656;57785;39724;17212;38;3180;169;5125;-;419;4706;329;485;10897;6995;664
01.01.2019;09474;Forchheim, Landkreis;100033;10030;-;9576;76768;49706;25895;213;3787;110;8795;-;256;8539;440;987;12546;8102;350
01.01.2019;09475;Hof, Landkreis;81544;7168;-;6852;62783;42364;19646;106;3970;173;6928;-;363;6565;589;497;13420;9070;494
01.01.2019;09476;Kronach, Landkreis;58298;5598;-;5274;44919;29830;14610;63;2633;114;4666;-;267;4399;419;283;9631;6278;387
01.01.2019;09477;Kulmbach, Landkreis;63849;5902;-;5646;48866;31834;16271;86;3029;94;5672;-;234;5438;294;517;9896;6618;374
01.01.2019;09478;Lichtenfels, Landkreis;58090;5708;-;5481;43946;29208;14290;94;2934;174;5102;-;195;4907;306;330;8826;6012;297
01.01.2019;09479;Wunsiedel im Fichtelgebirge, Landkreis;59010;5666;-;5406;46583;31818;14224;92;2302;89;4056;-;115;3941;311;420;8691;5879;166
01.01.2019;09561;Ansbach, kreisfreie Stadt;30310;2404;-;2327;25134;15688;8923;32;1390;43;1186;-;74;1112;164;277;3265;1930;90
01.01.2019;09562;Erlangen, kreisfreie Stadt;63735;5231;-;5110;54859;35105;18733;71;2465;68;803;-;44;759;306;906;4494;2220;60
01.01.2019;09563;Fürth, kreisfreie Stadt;73325;5992;-;5820;62480;42108;19272;127;3655;63;778;-;171;607;293;733;5418;2738;183
01.01.2019;09564;Nürnberg, kreisfreie Stadt;290620;22071;-;21488;244837;156346;84245;534;18585;623;3426;-;1360;2066;1167;2856;22105;10995;1765
01.01.2019;09565;Schwabach, kreisfreie Stadt;30633;2764;-;2678;25888;17474;7826;27;1330;46;510;-;40;470;114;391;2799;1577;48
01.01.2019;09571;Ansbach, Landkreis;169329;15899;-;15161;122224;75460;44984;238;7672;360;22314;-;614;21700;982;1429;28204;19034;1024
01.01.2019;09572;Erlangen-Höchstadt, Landkreis;110152;9926;-;9593;90300;57102;31725;135;3882;122;5517;-;331;5186;392;1331;12933;7684;433
01.01.2019;09573;Fürth, Landkreis;92580;9042;-;8725;75595;52000;22556;45;4184;86;3402;-;142;3260;312;1033;9779;5440;165
01.01.2019;09574;Nürnberger Land, Landkreis;136690;13520;-;13120;108742;71045;36065;76;5825;181;7957;-;299;7658;570;1695;15786;9338;459
01.01.2019;09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;90745;8206;-;7705;65742;39310;25302;136;4236;171;11962;-;278;11684;463;809;14987;9679;434
01.01.2019;09576;Roth, Landkreis;112200;11651;-;11209;84955;53162;30555;139;5628;262;9261;-;675;8586;566;1248;16368;9953;876
01.01.2019;09577;Weißenburg-Gunzenhausen, Landkreis;83324;7980;-;7515;61008;37873;22223;127;3427;130;10322;-;319;10003;460;895;13887;9034;537
01.01.2019;09661;Aschaffenburg, kreisfreie Stadt;52642;3431;-;3316;44752;29157;14821;89;3536;116;536;-;134;402;298;378;3993;2280;156
01.01.2019;09662;Schweinfurt, kreisfreie Stadt;32612;2049;-;1990;28156;17215;10299;49;1803;82;363;-;168;195;192;366;3046;1611;209
01.01.2019;09663;Würzburg, kreisfreie Stadt;77240;5953;-;5780;63920;40367;22038;98;5853;119;863;-;151;712;553;763;6170;3251;334
01.01.2019;09671;Aschaffenburg, Landkreis;141553;11808;-;11370;115729;75449;38488;142;7713;332;5557;-;355;5202;604;1149;19553;12611;535
01.01.2019;09672;Bad Kissingen, Landkreis;90613;7951;-;7582;69272;41751;26382;161;4192;163;8542;-;258;8284;495;1051;15530;10364;489
01.01.2019;09673;Rhön-Grabfeld, Landkreis;70894;6598;-;6129;53485;30445;21882;111;3091;167;7182;-;117;7065;427;695;13589;9300;244
01.01.2019;09674;Haßberge, Landkreis;76147;7023;-;6603;57193;32919;23287;114;3441;148;7924;-;240;7684;452;725;13034;8703;416
01.01.2019;09675;Kitzingen, Landkreis;79460;7182;-;6791;60520;37559;21811;161;3737;141;7388;-;423;6965;472;680;11854;7632;673
01.01.2019;09676;Miltenberg, Landkreis;102742;8351;-;7965;83493;52416;29555;130;5295;145;5027;-;158;4869;446;938;15537;10112;271
01.01.2019;09677;Main-Spessart, Landkreis;109918;10418;-;9931;84284;52028;30672;168;5381;226;9108;-;239;8869;559;989;17774;11778;374
01.01.2019;09678;Schweinfurt, Landkreis;98980;9582;-;9138;77389;49155;26752;155;3910;257;7438;-;770;6668;506;1243;17177;10722;1371
01.01.2019;09679;Würzburg, Landkreis;132135;12646;-;12233;104787;67342;35277;61;5793;208;8317;-;328;7989;531;1408;17302;10812;536
01.01.2019;09761;Augsburg, kreisfreie Stadt;158009;11832;-;11517;136121;89940;43038;332;7817;142;1259;-;217;1042;648;1766;11380;5735;265
01.01.2019;09762;Kaufbeuren, kreisfreie Stadt;28707;2475;-;2404;24543;16199;7904;60;1179;22;365;-;22;343;85;465;3195;1750;41
01.01.2019;09763;Kempten (Allgäu), kreisfreie Stadt;46059;3810;-;3713;38765;24199;13902;73;2173;75;906;-;77;829;332;640;4234;2193;109
01.01.2019;09764;Memmingen, kreisfreie Stadt;30696;2251;-;2189;25887;16089;9426;22;1596;69;786;-;123;663;154;291;3540;2038;195
01.01.2019;09771;Aichach-Friedberg, Landkreis;112886;12146;-;11656;85118;54750;28840;168;6188;140;8712;-;323;8389;554;1249;18588;11587;583
01.01.2019;09772;Augsburg, Landkreis;205666;19925;-;19229;162408;107761;51618;308;10229;335;11974;-;756;11218;822;2535;31775;19496;1301
01.01.2019;09773;Dillingen an der Donau, Landkreis;84833;7841;-;7446;63654;40341;22269;43;4136;153;8716;-;419;8297;443;661;16933;11110;732
01.01.2019;09774;Günzburg, Landkreis;107389;9646;-;9162;82410;50724;30631;150;5412;198;9059;-;512;8547;712;816;19421;12269;909
01.01.2019;09775;Neu-Ulm, Landkreis;133577;12494;-;12116;108000;71074;35483;157;6214;188;6132;-;647;5485;580;1371;19888;11941;1094
01.01.2019;09776;Lindau (Bodensee), Landkreis;67675;8142;-;7923;51577;33286;17567;65;2872;80;4758;-;91;4667;261;971;8805;5299;127
01.01.2019;09777;Ostallgäu, Landkreis;123705;12625;-;11963;89706;56023;32172;53;5333;204;15414;-;473;14941;574;1720;21970;13768;867
01.01.2019;09778;Unterallgäu, Landkreis;131257;13163;-;12515;96528;60368;34805;140;5649;233;15124;-;300;14824;653;1150;22877;15233;574
01.01.2019;09779;Donau-Ries, Landkreis;120965;11142;-;10586;89861;55047;33376;120;5530;174;13581;-;512;13069;731;956;22450;15157;885
01.01.2019;09780;Oberallgäu, Landkreis;132547;14514;-;13952;99113;62322;35601;241;6165;190;11860;-;256;11604;654;2014;20282;12666;382
01.01.2019;10041;Regionalverband Saarbrücken, Landkreis;223100;17363;-;16857;190320;129559;57828;443;11756;281;2191;-;384;1807;1027;1556;22374;12898;658
