Year, Indicator
2010,25.2816355062362
2011,25.4279852755305
2012,25.92819764092
2013,26.415173094271196
2014,26.417898311092202
2015,26.826167415542802
2016,25.441098174974695
2017,25.3552369771872
2018,25.4055474663294

