Migrationshintergrund in Wien gemeldeter Personen nach Geschlecht und Wiener Zaehlbezirk|Migration background of residents in Vienna by sex and Vienna subdistrict;;;;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_ROU;POP_HUN;POP_SYR;POP_RUS;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;90900;90906;2;1022;30;10;45;12;11;4;9;0;12;188;701;20080101
AT1;AT13;AT130;90900;90999;2;21;1;0;0;2;0;0;0;0;0;2;16;20080101
AT1;AT13;AT130;91000;91001;2;153;33;26;1;7;5;6;1;0;1;18;55;20080101
AT1;AT13;AT130;91000;91002;2;9109;839;856;114;264;348;123;97;4;33;1262;5169;20080101
AT1;AT13;AT130;91000;91003;2;3575;256;242;38;85;132;34;32;2;7;466;2281;20080101
AT1;AT13;AT130;91000;91004;2;3730;430;341;59;116;156;73;33;4;15;583;1920;20080101
AT1;AT13;AT130;91000;91005;2;8511;796;815;111;261;361;123;75;2;47;1133;4787;20080101
AT1;AT13;AT130;91000;91006;2;5418;676;645;77;197;324;92;33;3;23;816;2532;20080101
AT1;AT13;AT130;91000;91007;2;5854;380;279;100;129;206;72;53;4;25;669;3937;20080101
AT1;AT13;AT130;91000;91008;2;4424;450;420;72;131;206;102;29;1;59;646;2308;20080101
AT1;AT13;AT130;91000;91009;2;2423;142;117;32;49;88;32;25;1;14;230;1693;20080101
AT1;AT13;AT130;91000;91010;2;8230;464;536;125;141;265;70;40;4;23;711;5851;20080101
AT1;AT13;AT130;91000;91011;2;4500;140;324;56;71;48;21;20;7;17;414;3382;20080101
AT1;AT13;AT130;91000;91012;2;1121;40;28;27;38;40;18;13;1;5;198;713;20080101
AT1;AT13;AT130;91000;91013;2;2702;104;53;37;22;23;12;13;0;3;163;2272;20080101
AT1;AT13;AT130;91000;91014;2;2256;64;52;45;20;24;10;17;0;1;144;1879;20080101
AT1;AT13;AT130;91000;91015;2;2515;85;85;33;48;102;18;15;2;8;202;1917;20080101
AT1;AT13;AT130;91000;91016;2;3060;70;56;41;35;37;13;25;0;7;199;2577;20080101
AT1;AT13;AT130;91000;91017;2;470;7;0;8;1;0;3;3;0;0;24;424;20080101
AT1;AT13;AT130;91000;91018;2;2060;38;16;34;50;21;11;12;2;5;114;1757;20080101
AT1;AT13;AT130;91000;91019;2;1338;55;10;24;18;18;11;17;0;4;106;1075;20080101
AT1;AT13;AT130;91000;91020;2;5290;85;240;98;72;44;38;36;2;5;314;4356;20080101
AT1;AT13;AT130;91000;91021;2;3647;58;73;49;81;38;22;19;1;2;254;3050;20080101
AT1;AT13;AT130;91000;91022;2;3263;271;200;65;130;136;97;40;1;32;538;1753;20080101
AT1;AT13;AT130;91000;91023;2;4811;350;337;65;94;151;91;25;2;21;611;3064;20080101
AT1;AT13;AT130;91000;91099;2;32;1;3;1;1;2;2;1;0;0;6;15;20080101
AT1;AT13;AT130;91100;91101;2;526;14;1;27;13;6;13;14;0;5;96;337;20080101
AT1;AT13;AT130;91100;91102;2;6610;513;379;85;122;217;84;66;2;46;822;4274;20080101
AT1;AT13;AT130;91100;91103;2;7896;624;566;119;215;273;140;61;6;35;1057;4800;20080101
AT1;AT13;AT130;91100;91104;2;2212;149;124;20;47;84;13;19;0;10;233;1513;20080101
AT1;AT13;AT130;91100;91105;2;5147;182;207;78;95;107;66;34;4;8;445;3921;20080101
AT1;AT13;AT130;91100;91106;2;70;7;6;0;0;2;0;0;0;0;6;49;20080101
AT1;AT13;AT130;91100;91107;2;3439;127;141;56;49;56;35;27;0;6;266;2676;20080101
AT1;AT13;AT130;91100;91108;2;432;5;3;3;10;7;0;3;0;1;26;374;20080101
AT1;AT13;AT130;91100;91109;2;1022;30;7;21;24;11;15;8;0;3;69;834;20080101
AT1;AT13;AT130;91100;91110;2;12264;390;509;184;267;259;197;95;8;42;1011;9302;20080101
AT1;AT13;AT130;91100;91111;2;2287;61;77;24;47;53;51;56;0;150;448;1320;20080101
